FSC-H,SSC-H,FITC-H,FSC-A,SSC-A,FITC-A,Width,Time
3389918,437756,51,1131207,279430,136,40,1406.169
3823726,336137,-88,508531,88299,-71,15,3735.185
1914751,324619,-110,304944,100481,-172,18,3735.326
3277026,330257,-243,437282,86899,-214,15,3735.336
3805747,336677,-220,545271,104615,-222,18,3735.346
2642551,346684,115,408219,107067,232,18,3735.379
3097747,583474,50,412026,144262,92,14,3735.429
3750751,600361,-29,401030,130681,2,12,3735.437
1772956,597993,69,257575,148200,106,14,3735.442
3895194,551338,-28,923974,279665,10,31,3735.452
4443041,480938,64,576633,125849,92,15,3735.463
1283564,368547,-58,135658,78091,18,12,3735.476
3785836,291184,-69,387748,62822,14,12,3735.484
1570950,262080,-11,187731,59933,31,13,3735.489
4434260,879320,-31,5140389,1046823,-207,118,3735.617
4063735,348906,-38,948474,167542,-105,29,3736.206
3179912,394762,23,444001,103238,75,15,3736.222
3728830,405926,-53,856222,194055,-46,29,3736.228
3812226,343938,-164,621112,111019,-205,19,3736.266
3089722,236717,-324,405003,54421,-251,13,3736.276
1585839,368361,-103,268648,112165,-154,18,3736.303
2553437,422400,-133,273188,91801,-109,12,3736.316
1430385,385691,-183,212782,106653,-167,16,3736.322
3181395,280750,-189,366414,64745,-111,13,3736.331
2349364,464858,-241,323578,124682,-225,16,3736.351
4652490,559140,254,1183660,263352,-287,29,3736.358
1783668,362681,80,186450,78427,123,12,6636.275
3801520,373207,84,587775,108788,110,17,6636.308
2649424,497727,-120,363647,131515,-42,15,6636.337
3984023,520067,253,625618,153745,370,17,6636.347
1530972,491907,75,160769,106573,123,12,6636.363
2615614,364330,179,389795,101244,284,16,6636.384
3293547,270173,118,350954,57299,146,12,6636.405
3266145,229235,147,729750,102446,331,28,6636.411
1515445,106861,55,197120,23794,62,13,6636.491
3994592,874203,104,540581,220799,156,15,6637.167
1037967,84825,-42,906924,21133,-34,94,9738.036
1148204,221909,267,233839,52807,521,21,9738.455
1618406,99845,159,200240,22629,183,13,9739.208
2887442,278593,60,397308,72431,120,15,12771.971
3038782,196991,92,316081,42778,106,12,12772.195
1510465,91889,118,359555,42405,403,29,12772.379
3266335,363989,220,485531,103814,229,17,12772.400
3919057,480247,392,1031336,232095,802,30,12772.408
2611275,582865,408,335495,132466,446,13,12772.477
3234040,340147,246,399677,68078,321,12,12772.485
2397475,255788,-224,272051,59191,-200,13,12773.055
1894083,258010,200,293238,71593,-362,16,12773.059
3616103,267217,-91,799316,135766,-57,31,12773.097
3292309,242772,-303,345682,52787,-216,12,12773.120
1593899,234903,-100,193377,50716,-19,12,12773.126
1803446,217446,-181,214488,50494,-209,13,12773.275
1887134,208915,-357,239052,51624,-290,14,12773.289
2923455,194053,-152,298848,41968,-88,12,12773.299
2061095,229568,-10,211580,30186,-1,12,15474.576
2701786,523350,74,390953,132442,64,15,15475.605
4509843,717560,317,1223140,358765,652,31,15475.633
1774589,106429,121,1920703,5691,1025,118,15485.129
5145181,775652,43,587180,179850,98,13,17873.131
4536401,1215530,243,1030480,565427,-296,28,20347.477
2813431,1229075,20,426913,359165,92,17,20347.512
3777433,1108841,158,491704,268706,216,15,23017.941
1473333,336362,-74,159878,72703,-6,12,23018.484
2124812,235632,18,242849,50749,-62,12,23019.217
2882076,200834,16,633973,92855,-18,29,23019.223
2064313,120494,83,243054,29382,86,14,23019.385
2095867,190554,54,246945,41372,120,12,23019.422
2162309,194413,-15,320468,50892,-74,15,23019.494
893272,108077,210,1923297,128368,-1791,220,25250.412
1046865,152291,7,133068,34991,5,13,25252.471
1534711,310202,5771,627422,110143,8948,68,26588.785
1607292,338896,4220,526578,106808,6378,56,26588.820
1551967,161826,3750,495382,48052,5924,51,26588.846
1081421,283873,4583,504460,101137,6834,65,26589.158
1374439,130422,2901,432530,38048,4269,51,26589.209
1040118,112698,2695,320755,33648,4339,51,26589.406
1190356,194491,3467,503638,72144,5531,67,26590.100
935853,159114,5095,345410,53243,7377,59,26590.225
1513000,302117,4992,968686,161380,11997,79,26590.264
1187733,211732,4899,611838,91261,9443,67,26590.473
1126717,246780,3691,503377,90359,7752,65,26590.836
923765,102108,1986,284483,31300,1692,54,26591.287
1882891,285290,5006,653148,90348,7204,66,26592.406
1790882,292400,3964,830055,126135,6941,74,26593.154
1442265,190562,2919,485185,60356,4076,58,26593.441
1204659,241421,4475,560525,92487,7568,65,26593.584
1455845,316400,4866,636546,123401,8088,69,26607.207
1156100,238852,3892,690256,118649,9011,77,26623.199
1334090,145380,1595,415882,43215,2413,58,26640.408
1341842,206042,2506,446198,63571,3357,61,26647.250
1018339,190642,3525,439020,66205,4851,66,26648.996
1491471,264367,3754,584335,90774,5859,66,26660.117
