FSC-H,SSC-H,FITC-H,FSC-A,SSC-A,FITC-A,Width,Time
3865425,440681,94,477271,115876,193,15,3061.959
3582758,449091,46,454134,111648,145,14,3061.971
3409869,389750,-86,437269,96755,-71,14,3061.997
2631198,355032,116,314094,82178,3,13,3062.023
2058621,372888,-85,214107,80019,-25,12,3062.036
2134502,339958,155,239075,73665,244,12,3062.070
3788441,347183,172,865158,155665,436,27,3062.083
2029615,278071,88,258481,63842,154,13,3062.100
2630109,213665,87,399591,65139,223,18,3062.130
2438486,201453,151,290247,44828,229,13,3062.524
2688468,284983,195,756872,128849,354,29,3062.530
3491329,547291,195,937974,277704,192,32,3062.550
4397188,704039,211,1172610,371920,446,33,3062.559
2599778,136640,-107,384624,39783,-27,17,3063.126
2045059,109051,124,230369,23094,-19,12,3063.275
2612465,142930,124,385373,39219,-5,16,3063.322
1154731,128187,73,154763,32863,163,16,5396.502
3207110,229358,91,428511,56273,132,14,5397.190
1952672,256088,-318,205878,55449,-232,12,5397.221
1469643,245519,10,229734,68397,10,16,5397.227
2224410,139234,-62,259867,32006,1,13,5397.302
2073229,156017,-80,275085,37882,-67,14,5397.383
1064373,182567,-25,122637,39269,37,12,5397.400
1832064,215189,18,223696,46645,51,12,5397.413
2192187,206754,-113,335633,53888,-61,15,5397.427
3064985,230796,-229,340984,53473,-160,13,5397.467
1062114,233019,-172,119553,50586,-114,12,5397.473
1776050,223924,-58,219080,51881,-49,13,5397.486
2300303,219147,-108,381157,71157,-55,19,5397.500
814716,139891,-35,100164,29729,8,12,5397.577
1131667,127996,-121,129716,27185,-120,12,5397.594
1865267,128957,20,254684,31827,-45,14,5397.608
2341682,209911,190,2235963,158422,1,105,7821.208
3405854,350121,-150,521803,47229,-203,18,7822.556
1135346,261775,5555,650779,101631,10848,96,7854.544
1285401,295587,4983,746769,150122,11016,83,7872.436
1814329,344224,7203,766522,123083,11859,69,7875.111
712212,71594,2628,222737,21864,3683,55,7876.117
1287124,168712,2196,377615,47703,2928,54,7885.791
1431915,152299,3215,437415,44385,4377,56,7894.262
1359719,120077,3189,413708,34617,4263,57,7896.468
1060884,62565,1818,323031,18437,2726,55,8251.786
1207331,166399,4228,466367,53606,6185,65,8317.558
1113041,172320,3024,370180,51847,4200,59,8385.830
1008746,141164,1385,313579,41726,1977,57,8397.322
756514,85720,1042,228814,25298,1650,53,8405.008
2379361,145702,155,3496786,-33625,938,161,10625.641
2148326,244058,367,1.022247E+07,-410810,4570,500,10625.703
2289511,161564,-7,298953,37231,87,13,10627.367
2901448,206400,183,403101,50994,152,14,10627.422
2391407,170013,-58,317873,38781,26,13,10627.434
1743545,179412,-18,209985,38013,-22,12,10627.625
659994,80755,190,4058557,402970,-2961,622,12939.019
1314337,120769,6938,727443,21620,13532,82,14576.043
2111314,140375,7373,909422,22924,12698,96,14576.619
1378000,223757,6272,477406,68458,9200,61,14983.057
1561876,196856,5561,530241,59080,7665,61,14994.080
1375328,162572,3530,445885,48576,4669,59,15026.114
1209071,127728,2969,374749,37297,4500,58,15048.943
1252936,373481,7726,807073,187366,15456,82,15050.831
1565959,334147,3937,505556,100576,5788,60,15052.180
1454112,281759,6710,663068,108411,10562,70,15054.164
1309806,123447,3739,407299,36001,4832,58,15056.665
1041885,104508,2606,321199,30394,3752,55,15057.039
2609763,345425,9090,989866,129135,14383,68,15059.208
2485964,649439,17554,1522854,318253,37938,81,15059.529
1183289,116580,2542,364210,33827,3642,56,15060.496
2125593,460619,8700,921544,171369,14257,71,15061.770
1283815,141908,3478,411195,41966,5358,59,15067.385
876087,137556,2156,282057,40868,3002,57,15069.464
1738037,256754,7465,817198,112051,15246,79,15071.885
1084320,170080,2993,362022,51514,4307,59,15074.240
2146782,340759,8971,748172,107762,13066,62,15076.088
1934007,447346,8284,738212,152689,13297,62,15076.248
1101768,182538,2615,368123,55636,3821,58,15077.105
2069672,454333,9940,807270,150394,15564,65,15077.375
1688678,595563,11206,1053720,281485,22901,84,15083.436
1428986,185220,4640,465459,55080,6803,60,15087.654
1318363,121056,2402,402365,35258,3426,57,15089.680
1302929,206887,2456,409114,61588,3631,58,15098.439
1102742,121051,2450,344328,35569,3439,57,15100.366
1147251,128097,3243,368890,37780,4256,58,15102.146
1704664,601968,13849,1044407,268750,24961,80,15104.125
1145176,253928,6062,532205,97640,10988,70,15107.195
1396452,185685,4275,465172,55855,5386,60,15130.842
1098155,150773,2345,349569,44796,3427,58,15139.113
1259471,382126,8856,816486,198788,17943,83,15152.254
1151709,110459,2387,358459,32467,3328,57,15158.662
1333275,250574,4654,475262,78863,6702,62,15167.639
3052734,488058,12273,1583151,208641,22714,82,15177.916
1234372,189970,3645,407388,56504,5265,60,15183.207
1393704,227034,3376,449408,68463,4854,57,15183.436
1376784,226276,4279,470855,68141,5698,60,15189.260
1586847,144123,38044,496343,42440,49712,59,15191.914
1022863,143367,2321,324790,42316,3241,58,15197.855
1680063,345472,8318,833040,137262,14539,72,15198.257
1083382,202377,3626,408017,67639,5330,64,15202.385
2051912,514898,12008,999166,221741,21526,76,15233.650
717116,220121,3352,402328,97676,7707,79,16426.252
821801,151884,2759,338263,48393,4824,76,16584.441
1162274,165143,4706,391419,55851,6911,62,16591.273
1147909,171624,2556,387038,58143,3772,59,16591.467
2096641,481194,8987,1087212,217057,19342,79,16648.924
1649412,269558,4704,680767,106739,7338,69,16682.602
1331447,261630,5602,546973,91317,9124,67,16732.852
1051173,112264,2959,332980,33374,3941,56,16748.885
1435238,405580,6958,757815,151169,13140,74,16759.975
691292,93551,1661,218566,28108,2436,55,16767.219
610396,65641,2161,184481,19248,2789,52,16771.527
1210595,291726,5723,484314,95801,8502,65,16788.307
1380483,160063,4523,440142,47525,6313,59,16831.477
2109279,436612,10246,761632,134515,14337,63,16832.268
1516878,246849,7153,596632,83959,10856,65,16837.266
1442873,118794,3785,462452,34251,5115,54,16837.352
2504860,673777,13419,1052374,234311,21307,70,16840.730
1539697,280921,5213,525919,86718,7091,62,16844.004
