FSC-H,SSC-H,FITC-H,FSC-A,SSC-A,FITC-A,Width,Time
1.562373E+07,1.676985E+07,1626,2.728345E+08,3.017546E+08,103105,5936,1398.801
2256166,137196,-12,2302832,56862,70,114,1403.024
7142042,428614,38,1.247774E+07,384497,286,200,1403.059
9333383,1734622,276,4.221963E+07,4996275,1486,394,1403.133
2352685,12993,-79,289099,2095,-4,13,1404.350
6095985,331508,264,1547427,172835,498,33,1404.416
3747570,211719,154,532650,57030,183,16,1404.426
5481824,158300,79,1462007,71835,177,30,1404.433
6992685,194297,165,1735582,7666,522,34,1404.636
7719465,1523145,29,2191031,789859,71,32,1404.693
8536107,1204519,-55,872619,260537,0,12,1404.707
1.17322E+07,338501,-139,2208410,131800,-215,25,1404.853
5698268,176135,-65,1332272,84957,-142,30,1404.879
5946691,170021,30,1532415,92721,167,35,1404.889
3095198,229755,-127,448755,60547,-125,15,1404.912
3085795,222731,93,356384,50885,149,13,1404.922
3023366,201068,-34,701504,93272,-68,29,1404.928
3129525,164446,-163,408464,40327,-166,14,1404.938
2524010,139242,-193,376678,40802,-137,17,1404.951
4030928,156618,-190,473586,35984,-139,13,1404.973
4861273,155293,-72,687031,47706,-151,18,1404.980
4165350,149906,-147,487028,32243,-75,12,1404.990
3807960,148733,-138,986239,68070,-170,28,1404.996
5201211,68305,-103,1236393,34305,-113,32,1405.023
4670247,57013,-160,1209643,23508,-255,29,1405.055
4069518,64361,-77,1012531,32447,-155,32,1405.075
4901832,65208,44,706150,18659,73,17,1405.086
3430575,58961,23,507559,16448,93,17,1405.095
3478693,43405,-210,528572,11312,-205,18,1405.105
4030922,15062,-128,1020305,5567,-259,32,1405.115
6908456,6733521,609,1.619121E+07,-7368481,1575,220,1406.381
5174310,1480503,417,2078208,-704229,825,37,1410.014
1.561468E+07,1.679318E+07,1955,2.725306E+08,3.028743E+08,161981,5971,3778.737
5842469,2028853,163,7048224,-1113340,651,120,3783.869
3131887,1.089132E+07,906,402616,2362068,818,14,3783.889
8737565,878963,143,2.152723E+07,-3450838,1575,321,3783.931
1.2109E+07,21845,-10,2359622,5088,36,25,3784.327
4165181,251510,109,1063760,98167,269,30,3784.633
3386796,787022,226,850436,396414,404,31,3784.653
4571086,826688,348,1196995,421358,781,31,3784.663
4021326,626428,299,555862,169598,413,16,3784.673
2537505,359852,227,376799,103526,373,18,3784.683
3268847,146155,190,847248,50821,372,31,3784.692
1.231031E+07,229944,93,2495522,75829,223,27,3785.176
1.223302E+07,235869,207,2662444,96775,377,27,3785.239
1.176504E+07,259988,92,2064524,84606,-45,22,3785.249
1.095197E+07,242508,26,2048179,83516,-166,23,3785.255
7370113,275672,-39,1669859,124782,21,31,3785.262
6068510,284129,26,1605328,148451,176,34,3785.284
6688987,248801,24,822922,59966,-87,14,3785.292
2706154,283329,-90,285848,61257,-82,12,3785.300
1276431,274908,-89,141952,59087,-114,12,3785.307
4898725,240429,-23,613610,60302,-42,15,3785.315
5128162,205755,-79,740765,63054,-108,18,3785.328
4974821,180386,-11,1139822,84681,-160,29,3785.344
5934121,120428,-74,599485,24700,-7,12,3785.352
2970293,91404,180,355709,19307,160,12,3785.360
2314071,94301,179,359484,28036,145,18,3785.366
4701710,100620,-85,594459,26118,-57,15,3785.374
4933029,85512,8,1178786,39617,80,29,3785.389
1047607,101060,95,151639,24395,82,14,3785.416
4022330,88231,1,471027,20069,74,13,3785.424
5627900,101927,24,1346533,46215,47,29,3785.431
6641608,134534,-205,745605,28440,-114,12,3785.439
2625631,172248,-149,277214,36980,-98,12,3785.451
4664800,187498,-141,577179,48956,-122,15,3785.466
3890638,179050,-114,512710,46177,-84,15,3785.476
5607580,223807,-205,1307801,115907,-421,32,3785.519
5234532,210961,-158,1322034,103688,-409,30,3785.539
6066187,190685,-64,1443823,110077,-54,36,3785.549
5551209,165194,202,1351613,85789,115,32,3785.559
4878298,134723,9,621370,33028,-46,14,3785.619
4849218,121135,-137,641276,30739,-101,15,3785.626
4215360,100224,-98,468344,21519,-91,12,3785.633
2203170,89431,-63,318626,22364,13,15,3785.638
3442639,75393,-160,483785,18697,-120,15,3785.649
5284276,71699,-32,761750,21303,57,18,3785.672
3839397,76060,-1,591531,23002,-89,18,3785.681
4361962,99755,-20,1101623,43411,-13,32,3785.691
3620162,56728,-120,531690,15127,-164,16,3785.711
4633830,20479,31,1206049,9100,78,31,3785.741
3010822,19768,12,365421,4096,-10,13,3785.761
1017724,20818,-91,135305,4467,-117,14,3785.767
5296721,38746,-86,1345427,19415,-97,33,3785.794
4329060,51689,-18,1129643,25406,-32,32,3785.804
5246309,48594,67,1367095,24049,74,33,3785.814
3524626,51343,-4,535588,15155,71,18,3785.823
3058784,52018,249,408150,13390,161,15,3785.833
3889656,48632,34,1091816,21729,133,29,3785.839
5909642,49183,56,1536601,26362,-49,35,3785.850
4789976,42651,195,1286667,19191,225,30,3785.859
5701492,38978,66,1486459,19666,125,34,3785.870
4032461,31605,258,1050966,15635,303,33,3785.879
4993312,28163,23,1366987,12115,78,29,3785.888
5657158,28236,77,1468480,13085,178,35,3785.899
3795871,16092,-29,987171,6278,13,33,3785.908
4368928,11882,98,1161108,4562,100,31,3785.918
5301099,14831,-51,1410522,5709,-54,33,3785.928
1.547008E+07,1.459221E+07,804,2.421165E+08,2.008121E+08,91984,4824,3795.498
1.08039E+07,968081,114,2.107687E+07,-3152520,215,192,3796.179
6949154,2318542,5,2402864,-446870,-2,35,3796.184
1.56203E+07,1.678617E+07,1706,2.723921E+08,3.039356E+08,178054,5987,6273.544
1.164344E+07,1230878,319,2.613513E+07,-4902239,1164,224,6278.524
1.221491E+07,661259,35,2478370,283295,165,26,6278.977
1.059337E+07,700420,128,1658674,260298,259,22,6278.987
1.067508E+07,672205,9,2006444,250338,81,22,6278.993
3741798,575579,198,517513,169298,231,17,6279.013
4526581,480650,81,579146,126646,187,15,6279.022
4198906,441218,-9,495662,108633,50,14,6279.032
4323678,385855,-50,441123,83589,-56,12,6279.039
4336019,368293,75,439031,79722,125,12,6279.046
4839332,333977,186,558652,76378,222,13,6279.052
4434527,334452,-22,996376,154559,57,28,6279.068
2141024,259159,251,251417,55879,251,12,6279.084
3992303,259679,222,899107,122974,486,29,6279.098
3640212,275223,111,450741,68009,170,14,6279.111
2100084,279435,219,253089,64623,287,13,6279.124
2058864,299962,295,281429,74065,281,14,6279.137
3252755,329433,252,770687,152865,573,28,6279.164
5084527,310132,285,746295,94417,344,18,6279.175
4004342,281721,180,509469,65387,140,13,6279.185
4060610,265237,112,483940,56339,169,12,6279.192
5109133,252782,186,1247518,123297,237,30,6279.199
5614789,214484,63,1337266,119671,311,35,6279.209
4601231,181776,200,597506,47106,277,15,6279.220
4366691,118139,303,562469,29164,406,14,6279.241
1495854,91483,42,169698,19134,92,12,6279.253
4531908,74236,-43,604462,18396,36,15,6279.275
2801753,77343,-10,344321,16969,39,13,6279.285
2919677,83775,156,766051,38757,299,29,6279.291
4563143,89214,94,619068,22745,94,15,6279.301
3042281,64182,72,811987,28774,71,29,6279.321
3805142,48139,194,416035,9895,212,12,6279.339
