FSC-H,SSC-H,FITC-H,FSC-A,SSC-A,FITC-A,Width,Time
1717993,190178,81,8631186,826086,-21,524,1321.661
3532851,491100,373,1.71864E+07,2722386,3883,513,1321.841
3272163,856225,180,390283,195278,260,13,1322.012
4050644,529991,69,865156,234080,148,27,1322.048
3865286,812544,16,518608,191011,32,14,5587.992
2806205,232474,-58,356259,53693,-111,13,5589.044
1850545,161385,-168,251879,39313,-111,14,5589.114
2188354,124962,179,257537,28366,-78,13,5589.175
2128832,152674,179,263308,37440,-110,14,5589.245
2018218,124138,-63,271289,30243,-13,14,5589.332
2240347,141842,-154,356531,38884,-168,16,5589.370
966060,136990,144,117366,29338,181,12,5589.427
3974394,968743,457,632881,289507,525,19,8017.696
2107250,162694,-73,327201,48871,-105,18,8018.642
2789056,234663,-134,428078,68431,-57,17,8018.713
1888001,181214,-151,244939,44582,-97,14,8018.823
1011109,178381,-109,108076,38432,-110,12,8018.840
1739783,198248,-24,207731,42825,55,12,8018.854
1214590,372304,5708,522920,118958,8169,65,8533.289
2000201,415731,8114,725324,130362,11252,64,8537.819
1756957,357145,5022,653030,113719,7027,63,8549.769
1592926,235465,5159,550942,71386,7340,60,8550.453
1518580,168443,3403,476597,49859,4362,59,8662.248
1419005,296979,5452,532078,94688,7829,63,8670.813
1089399,109521,1936,328335,31650,3286,55,8736.610
724937,127938,1620,225518,37462,2476,55,8742.673
3093565,838719,15938,1115299,259568,22450,65,8756.253
1511156,198448,4174,489195,58780,5656,59,8761.957
1244531,151837,3085,396383,44691,4485,58,8764.283
819339,65766,1685,241424,18843,2049,53,8769.425
1017040,93002,2660,309928,26961,3981,56,8776.922
1265894,316391,5362,521191,103293,7830,65,8814.527
1460427,147824,4015,476652,44514,5924,60,9481.370
1288290,199862,3338,430450,61260,5161,60,9484.842
1199910,159829,2890,375803,47611,4103,57,9509.690
825461,58405,831,247664,17202,1410,54,9510.732
1354986,173329,3129,432365,51261,4634,59,9536.167
3741314,460601,231,475536,121131,330,15,13877.480
3291818,426561,253,413436,105717,299,14,13877.492
3265737,468173,28,366150,101769,23,12,13877.527
3276377,450710,243,669557,208985,538,28,13877.531
3916309,400137,97,433829,86857,166,12,13877.553
2507485,298477,213,343282,83033,314,16,13877.576
2799128,194294,76,441435,59648,149,18,13877.611
1396407,120925,29,145051,25555,110,12,13877.719
1458023,113389,130,164163,24564,191,12,13877.732
1443575,85784,15,160562,17791,-1,12,13877.764
2756517,393345,-126,377986,97543,-56,14,13878.186
2812576,258463,-197,431299,76223,-285,17,13878.943
2934967,222283,-144,485288,71834,-202,19,13878.988
2874491,206252,2,310007,44284,-8,12,13878.998
1725161,199869,-81,272039,63884,-57,19,13879.004
1286148,212436,-42,160772,45927,-25,12,13879.034
1939025,221614,-189,236006,50525,-127,13,13879.082
2108080,226179,6,311303,62850,22,16,13879.094
3123543,237337,-108,427918,58324,-96,14,13879.105
1185152,170944,6164,402344,53136,8658,61,16154.682
1151382,145072,6459,384156,43914,8693,59,16165.350
739278,121925,3698,242126,36729,5551,57,16173.185
1935859,353711,9725,726392,120055,14828,66,16177.770
1318939,152654,5368,439966,46396,7235,60,16191.898
1322617,180124,3961,420730,53888,5298,58,16196.357
1220544,164075,5623,397756,48682,8024,55,16196.378
1486213,284237,6148,651491,107040,10416,68,16215.011
1199447,255115,9141,522307,90232,13903,69,16231.607
1429368,130147,5813,463379,39132,8307,60,16267.160
914163,117301,2943,286987,34897,3836,56,16269.071
1242659,206460,7400,499492,72727,11982,66,16271.936
935446,117666,4159,314230,35827,5489,58,16917.189
4005656,576129,1236,2993323,-813425,1206,65,18602.525
2851537,198612,62,2882497,-47916,-785,159,21006.893
2577806,199188,50,287345,42910,75,12,21007.551
2111374,180850,-84,281575,47284,-50,15,21007.557
1953002,114109,-110,230416,24504,-103,12,21007.648
1719231,110887,126,208825,25378,-62,13,21007.820
1594177,93825,126,179828,19801,-71,12,21007.834
2032085,210061,14152,663215,65721,19910,61,21497.875
1251757,158436,5637,462590,53701,9172,63,21514.020
1456799,245184,8772,489578,74952,12429,61,21516.230
1061325,254226,7179,444505,92204,11956,65,21516.611
2405018,229451,10753,836300,74610,15426,61,21516.873
1872670,398883,15335,903117,168166,26768,73,21518.211
1487443,205067,9287,576226,67914,14069,58,21518.258
2346059,276269,12354,870389,95551,18693,65,21519.488
2644815,358872,12778,986494,124060,18715,66,21520.188
1774457,275453,9550,760471,102035,15996,69,21522.834
2279166,313743,5557,841450,110882,8909,62,21523.023
1706886,369841,9652,689811,121838,14817,68,21547.738
1279834,202429,6027,485709,69216,9265,65,21565.824
988406,108381,4612,314358,32507,5943,57,21569.156
1003755,135447,4840,337677,41355,6925,59,21607.047
1412620,173261,6999,481221,54679,9940,61,21615.621
1765059,570033,12600,802477,211766,20272,71,21617.727
1140397,176520,7080,412335,56136,10687,62,21624.061
1486828,148649,4350,482948,44092,6253,59,21632.713
2527475,388556,12441,1003521,143637,19584,67,21633.172
1946375,219528,7342,675024,70523,10486,62,21634.605
1640665,205907,7445,552459,64350,10338,61,21637.990
1442201,94928,5713,450896,28170,8095,58,21640.508
1495686,162429,7057,493471,49285,9160,60,21657.088
829828,175157,4907,349356,63448,7933,66,21708.768
1489077,169675,5125,473701,50231,7314,59,21710.129
1789411,347367,7681,616653,108915,10702,62,21717.770
1593513,155081,7197,511175,45667,9312,60,21722.127
1566480,172169,5149,521832,54814,7468,60,21724.789
1492534,211514,5630,481208,63985,7625,59,21731.453
1243955,122465,6224,403645,36311,9232,56,21731.662
1257166,218494,6484,451667,70456,9810,62,21736.436
1830994,203954,7027,584623,61532,9484,60,21739.129
1840876,165343,7988,604859,49213,11136,57,21739.313
2459962,516887,17659,1200488,217666,30071,74,21740.674
1104347,227765,5495,523567,86214,9155,70,21742.398
1607074,240285,11355,941927,125691,23816,82,21748.846
1063940,100819,4388,339921,30081,5607,57,21749.658
1860110,411775,14822,941077,165303,26672,75,21759.133
1213070,187383,6409,483018,66818,10640,66,21787.965
1241923,184127,5129,426670,57310,6959,61,21799.842
1438735,172538,4281,458223,52094,6128,58,21808.164
1321694,168601,6050,470575,54427,9412,61,21808.926
1344653,150680,4309,438143,45178,6270,60,21812.637
1224162,259404,11389,743338,131697,22612,79,21813.277
1909361,298737,10854,814904,117026,18906,70,21817.977
1797853,208450,6839,641281,68462,10382,63,21820.303
1250339,140300,4398,400521,42019,5674,58,21821.121
1751206,253691,6171,657080,87721,9177,64,21823.348
1535309,200167,4967,495466,60654,7568,59,21826.891
1374607,291124,10305,725829,134121,19002,74,21827.342
1356678,135210,4344,422555,39531,6015,57,21828.738
1207430,179187,5235,402039,53793,7495,60,21829.514
930829,150948,3357,287382,44576,4718,55,21831.299
1346367,170855,6230,441951,51650,9127,59,21833.121
1539901,341686,9814,609659,114108,13471,65,21840.109
1407147,130231,5779,450778,38720,7655,59,21844.770
1534672,102967,5868,489374,30549,8590,59,21850.535
2862965,387834,18225,1374546,176576,33036,78,21854.652
1487509,124747,6791,459486,36371,9167,58,21856.000
2114041,519610,18639,1013915,220097,30938,73,21856.805
1148849,180798,6779,473281,62560,10773,65,21857.990
1459604,163093,4126,466108,48817,5859,59,21858.727
1269504,115672,4891,407869,34656,7139,58,21859.881
1246591,122680,4454,396034,36609,5964,58,21865.215
1177823,181206,5927,423892,58613,8772,62,21869.086
1234731,173320,5999,417300,53348,8183,60,21874.785
931942,73050,2948,292849,21770,4472,57,21882.250
1019605,138022,5058,336325,41932,7506,59,21889.816
1779032,311457,10286,946637,150141,23036,82,21896.658
1193736,281311,7118,577901,110951,11849,70,21914.004
1791451,253101,12828,1005471,131363,27199,82,21921.506
874113,134133,3794,284996,40156,5019,58,21926.619
1545975,300476,11214,730810,121383,20123,72,21927.873
1401310,176387,6633,452177,52790,9176,59,21941.494
1079459,101593,3000,331746,29859,4079,56,21943.273
997552,166595,6065,389925,56113,8774,63,21947.699
1424920,115400,6419,440811,34046,8630,57,22329.941
1451543,186069,5955,458392,55327,8334,59,22370.055
2052062,278683,8348,811922,105784,13186,68,22458.994
739190,66460,2865,233603,19870,4143,56,22548.707
2332246,135383,17333,1380557,49632,40772,76,23153.766
1602471,94679,13343,1017365,25633,26497,72,23153.947
1679194,203549,7176,594731,56372,11140,70,23158.980
1212073,91124,4435,362725,23322,6247,60,23159.406
1762131,166302,5425,558130,56345,7148,70,23160.414
1393969,156624,6381,448522,47083,8692,59,23218.553
1046875,144023,4662,345622,43683,6474,58,23230.410
1361933,285237,5483,467900,88173,6983,60,23348.977
1987434,344943,10396,875953,136842,17449,71,23389.354
1534096,133602,5195,476663,38471,6903,53,23389.514
1062871,173191,6458,416697,56354,9810,63,23397.705
1599677,394356,11964,959777,213205,25707,82,23398.434
830884,199734,5369,373810,74329,9241,67,23399.656
1331043,119654,6247,424285,35530,9416,58,23411.664
1918654,428623,10612,1268334,231055,26765,88,23412.371
999700,196506,7042,411181,70195,12144,66,23421.164
1180192,165142,6065,398426,50128,8175,60,23437.918
1038078,187345,4914,418941,65745,7792,64,23446.039
702351,72181,2675,207647,21010,3539,52,23459.078
847618,132917,1788,254573,38518,2833,54,23465.453
1525820,216403,5961,564778,70394,8945,62,23465.961
1546946,317829,7727,565520,101324,11021,63,23468.316
1571408,291540,10475,822523,114548,19196,71,23468.592
761535,87435,2830,238145,25892,3988,53,23469.191
2290129,323549,10178,1168757,153052,20289,77,23470.381
1444501,235214,6117,666161,91231,10798,69,23471.238
1570324,135286,7510,483355,39486,10656,58,23475.467
2244753,359195,12048,970068,133040,20840,66,23475.512
1915069,296635,9979,684147,95832,13915,63,23476.729
1545739,238431,7919,487036,71095,10828,57,23477.248
1242701,135909,4386,387405,39892,6074,57,23480.750
1295286,159796,7089,430308,47781,9497,60,23490.410
1113508,92672,4965,356487,27516,7090,58,23493.389
2387525,282261,12056,940948,105546,18955,67,23500.895
992456,136609,3595,314847,40417,4830,57,23522.883
1029153,168762,5571,356466,52535,7735,60,23525.457
936396,204242,5689,414926,70079,8926,66,23527.965
993195,206797,6158,438544,69863,10162,67,23541.416
1696943,498174,10836,803143,180131,18005,71,24028.211
2402901,979861,1010,521344,-111521,1329,23,24668.492
2318263,167842,12705,913726,34413,19212,64,24687.629
1346196,119896,7207,642025,32223,11169,1029,24691.230
1333749,144482,5592,465938,51736,8013,72,24693.018
1281663,145814,5467,412157,49115,7884,59,24693.105
1532828,117641,7315,486932,38973,9026,63,24695.764
1387424,162560,4387,447097,52718,6073,61,24697.842
1456362,139264,5183,453276,40411,6799,58,24834.863
1140219,140592,4231,360324,41472,6283,57,24929.793
1831488,278641,10716,659331,89425,15325,63,24933.570
1119036,73316,4777,337983,20762,6718,50,24933.656
1621038,188896,9963,725387,73344,17258,70,24943.578
843318,206866,6287,378101,73944,10837,67,24946.883
1376813,163176,5683,473549,51391,7500,56,24946.912
2905569,550535,17937,1046448,182428,26870,65,24949.320
1596389,297779,11441,754493,119363,21285,71,24949.973
1190499,156671,4910,392769,46824,7087,59,24955.623
1952233,189276,5941,709606,64565,9106,64,24956.617
1341302,199102,6987,444016,60347,9352,60,24958.695
903005,113507,3127,275847,33453,4791,55,24962.211
2589364,260972,15363,1117756,124284,26450,75,24965.543
1107555,233836,6316,459394,82504,9913,67,24977.326
1331484,145408,4664,420815,43206,6577,58,24983.740
1457741,230666,5708,513068,72321,8078,62,24986.273
1786581,474719,15747,843897,191054,26543,72,24991.879
1898729,247842,5625,676494,84266,8424,64,24994.184
1439819,174415,6748,459921,52042,9441,59,25002.750
1827132,153674,7179,584540,45662,9882,60,25008.199
1176108,162255,4743,388240,48819,6915,60,25012.646
1909949,317119,11646,681170,105152,16477,64,25013.896
1401524,201427,7080,463198,59308,9460,54,25013.949
1449019,142135,5950,458213,41838,8355,59,25019.803
1459696,167983,4621,459374,50136,6361,58,25020.643
1703689,316638,11180,1004252,177421,23627,80,25021.033
1366562,92569,6349,423646,26693,8959,54,25021.359
1074170,83033,4936,325456,24204,7097,55,25022.008
1363349,161207,5669,430542,47766,7391,58,25022.910
1160796,185160,6707,400129,56732,9486,61,25024.781
2141187,334403,11245,740407,105705,15604,62,25025.564
2564928,406840,14936,1433994,223734,29841,87,25029.590
1156099,201872,5674,460235,72756,9204,65,25032.457
785184,195716,4220,326323,67623,6326,62,25032.705
1394879,151912,8235,453688,45754,11470,59,25036.621
1263974,240904,7221,509400,82126,10660,65,25038.760
1417772,275578,6596,742216,122004,13620,74,25040.127
2070520,255476,6531,760827,92287,10593,65,25045.840
1596328,210957,5526,511318,63109,7673,59,25047.168
846321,171326,5162,326001,59322,7901,64,25072.908
1191939,168377,4587,381662,50213,6305,58,25684.672
1698246,112244,7277,560612,33291,10065,60,25729.930
2236104,286458,10072,791352,96678,14516,64,25766.938
1334190,193509,10029,726998,106901,21136,79,25952.813
1038559,126406,4793,347127,38670,6804,59,25987.691
795067,122004,3249,272549,38123,4747,56,27178.535
1528064,92402,-25,226020,23350,56,15,27185.895
956513,100282,-19,115326,21459,35,12,27186.148
974561,104298,57,114361,23067,2,13,27186.162
1029898,110841,84,138754,27201,123,14,27186.180
1387695,182940,5002,434000,54803,6751,58,27725.590
1471393,99585,6650,476110,30478,9632,59,27727.637
1244160,138213,3874,390411,41144,5220,57,27728.572
1565671,644352,13975,736158,224391,23182,73,27730.648
1141001,224689,6335,437698,72171,9379,60,27730.863
1412127,145389,6877,481299,44729,9439,62,27732.283
1311810,109804,5790,415444,32543,8014,57,27732.727
1356920,164315,6008,449074,49837,7993,60,27733.934
1593288,160035,5205,524818,48131,7756,61,27734.455
