FSC-H,SSC-H,FITC-H,FSC-A,SSC-A,FITC-A,Width,Time
2147859,147541,336,245274,31328,207,12,930.021
1873654,181829,-50,232243,39020,52,12,930.051
1758085,131871,75,205110,28063,95,12,930.172
1771465,94189,27,216613,19530,14,12,930.185
2659866,202773,338,577663,94679,534,29,3253.797
2020740,150221,186,276977,39474,258,15,3253.858
2345069,591644,98,5102256,1783538,-648,238,3275.895
1235480,169785,2110,384934,50178,3081,57,3317.424
1135376,284462,4709,480124,94561,7100,65,3649.363
1259905,105060,2501,384104,30152,3423,57,3726.126
1824309,375434,6499,764334,137487,10699,70,3740.554
1136269,185059,3653,404343,60321,5645,62,3746.293
1336743,213104,4171,452862,64813,5925,60,3852.742
2942946,506788,158,708774,187271,43,29,5947.163
3013455,1010887,158,361209,213436,4,12,5947.171
877062,151183,2830,331315,51440,4094,62,7653.214
1317668,305745,5019,488788,101771,7416,64,7673.218
820879,92967,1944,246432,27243,2906,54,8562.533
1379266,314535,3457,570994,123987,5098,72,10142.507
587123,73862,1418,173762,21869,1961,52,10162.020
908793,77572,1209,352003,28358,2354,68,10165.443
1166963,132146,2040,353015,38281,2461,56,10174.979
492896,48502,1145,140686,13624,1750,49,10181.806
1284887,120935,2638,399534,35386,3553,57,10275.845
1447337,192578,3936,551772,65490,5722,64,10281.274
1352792,160969,3045,428883,47356,4477,58,10437.254
1884530,106308,141,250823,25717,213,14,11793.342
1102210,117101,2016,364801,28799,2642,69,11817.690
686063,162043,3070,292271,60868,5480,65,11824.966
1933830,253481,6029,717189,88545,9369,64,11825.336
668216,50675,1269,221165,16061,2401,57,11859.191
1306315,162596,2532,414188,48160,3260,58,11877.427
876257,130319,2393,329580,42078,3966,62,12133.202
1371455,106929,3137,415583,31072,4352,56,12527.090
1110114,92715,1809,336867,27150,2477,56,12733.180
954480,131613,1815,300907,39414,2515,56,12952.701
3541843,880440,137,419370,60426,54,16,13850.607
2460547,192974,84,603058,88678,174,28,13851.065
3005482,205772,128,511504,72894,275,21,13851.131
2027179,124097,-14,264124,28406,55,13,13851.173
1261381,99607,1925,404692,22159,2466,67,13875.727
766320,53693,2268,244519,16347,3494,57,15275.627
511910,39390,1473,166486,12504,2586,55,15402.875
1268494,195760,2801,414679,60324,3379,61,15773.927
1117642,112677,1882,352837,34602,2774,56,15774.301
1511102,282657,5918,853901,140131,12636,75,15774.377
971886,101273,1407,296522,30667,1965,56,15776.914
620937,57924,1332,184774,16871,1798,53,15797.455
875646,53745,1840,266038,15677,2566,52,15797.520
1394948,224751,4980,1055727,126699,12996,88,15798.074
1115998,148772,2141,349216,44361,2988,57,16120.975
863808,195751,4635,410027,76291,8070,68,16123.447
1423508,288139,5443,651585,104736,9335,69,16124.480
1065038,145437,2560,326794,42689,3433,57,16146.945
872864,122068,2406,319158,40347,4390,56,16146.961
1093810,139731,2823,349532,41839,4641,57,16153.303
2320810,239833,6221,803773,79706,9312,63,16155.936
967335,131484,1985,295328,38579,2868,56,16162.271
1072621,208578,5164,470093,82281,8691,68,16166.996
2868745,392791,11058,1071723,132080,17373,66,16244.119
1140887,129633,1620,349599,37957,1853,57,16247.235
1205894,165614,2726,370949,48570,3670,57,16249.410
1503286,159762,4488,482106,48078,6167,59,16250.359
1211180,122605,2795,368237,35334,4145,56,16251.344
1204489,126495,1752,365775,37039,2475,56,16254.576
1110582,93888,2961,339735,27709,3678,56,16257.121
1337023,160100,2305,404538,47023,3599,57,16258.344
878286,72843,1529,260253,20947,2303,54,16260.275
1330627,278269,5370,851562,141399,12347,79,16260.389
926603,112213,1548,279560,32539,2473,55,16262.590
1181566,93914,2082,351319,27033,3365,55,16267.724
1900482,262913,4448,777427,106614,8376,71,16273.168
699827,54962,1044,203842,15926,1725,52,16274.845
1694978,280912,5353,671981,108484,9347,67,16279.725
1192426,105482,2620,362680,30933,2982,56,16281.261
1251684,246809,4637,550396,88309,7032,67,16286.633
1632212,240882,4711,687254,91153,7588,67,16287.807
1602207,444702,6259,741298,173465,10689,71,16308.297
1024836,210468,4080,428644,74129,6413,65,16314.168
968529,112575,2263,300496,32938,2930,56,16319.502
1078033,185303,3184,465455,67977,4652,66,16324.015
746483,91466,1757,228916,26890,2508,53,16324.504
1292389,199286,4551,544352,73800,7582,67,16325.519
1087829,175731,3136,415377,59301,5015,63,16330.196
1421592,184974,3029,508107,61827,4543,62,16333.017
2657726,334767,7216,864487,102966,10089,61,16334.607
853462,71586,1520,252628,20784,1644,53,16335.600
1346434,165355,3014,420465,48383,4134,55,16335.656
1786661,212380,6308,656762,74257,9015,64,16338.484
2814591,397445,9515,1140056,149435,15136,70,16341.594
1063398,106373,1603,319419,29764,2000,48,16341.710
1400406,202833,3140,450029,61232,4349,58,16342.418
2225260,326778,6519,704148,97979,8805,59,16343.106
1766413,315249,6484,733683,123529,10058,66,16343.348
1055949,113999,2161,329554,34208,2932,57,16345.678
1051859,62731,1770,314134,18199,2818,55,16346.373
1450216,152885,3370,469581,44961,4581,60,16348.436
1316682,315115,6584,707345,130489,11681,75,16349.341
2386253,424462,9529,1113499,171924,16540,75,16350.008
1036985,128818,2488,320397,37611,3464,54,16350.516
1814067,193503,4131,637116,65858,6782,61,16350.816
1087626,114599,1907,331849,33228,3570,57,16354.221
1399912,145555,2822,422704,42013,4213,57,16355.236
1481507,334402,4064,516704,104819,6005,62,16357.049
1144030,77922,2181,338757,22060,2921,53,16357.451
1744342,268235,4047,556260,81144,5807,60,16359.504
2583720,548975,13928,1397328,254377,25766,79,16359.734
2001028,254304,6520,719156,84330,9930,65,16361.389
1492275,230092,4405,466366,68255,5930,58,16362.564
1720218,393631,6725,923543,170062,12964,73,16364.634
1538065,304898,5930,949096,167178,13204,80,16368.385
1151712,143107,1533,348096,41726,2272,54,16369.000
1759623,378377,7263,927818,171807,14593,78,16371.138
826651,197970,3200,328246,69776,5119,65,16372.268
2188483,393562,6907,821421,131402,10522,66,16374.758
1209635,84049,2256,361301,24292,2784,56,16378.973
1202097,186649,4438,450401,62768,6443,63,16393.061
1041492,105892,2271,315571,30770,3085,55,16396.807
999404,95297,1967,305977,28139,3013,56,16416.313
1105386,121563,1913,348289,35923,2402,57,16423.648
1083344,100850,1772,329681,29526,2489,56,16427.633
1079708,91153,2192,329238,26679,2911,56,16434.098
889268,89156,1454,266982,25992,1921,54,16477.844
1128367,172487,2728,334544,50020,3818,54,16800.975
1449428,263974,4821,595901,94519,7047,66,16845.352
998911,102592,1942,316054,30183,2731,57,16846.980
1370223,245507,3854,614274,105071,6798,72,17035.359
1525843,220717,5543,882927,105397,11758,77,17334.969
888718,101979,1998,290528,31277,2958,58,17497.174
1113817,136868,3688,476762,53393,6325,68,17608.455
625256,76043,2071,200164,23214,3469,56,17699.096
1506089,165269,124,171620,38088,166,13,18750.658
4192024,500974,-153,502706,124711,-211,14,18750.705
1314387,204916,-841,977047,159847,-4676,81,18772.527
497930,81310,1706,525052,52844,6899,166,18791.998
990412,115027,2206,333075,40187,3609,64,18792.604
558975,110490,2434,307704,56335,5388,93,18793.770
423209,80926,2431,261109,43226,5782,91,18794.158
654706,120615,2255,248589,41209,3692,61,18809.693
898100,179635,3477,369187,65376,5230,66,18811.441
1279909,88767,2389,395303,26909,3428,57,18812.053
1014694,186964,2873,423251,71010,4663,67,18813.732
1242783,148507,2852,402202,45146,4204,59,18814.324
949412,105214,2170,285784,31135,2754,52,18814.584
999030,107509,1546,300990,32165,1822,55,18815.471
1192692,206440,3324,446804,68239,4688,63,18819.813
1448362,138333,2947,453233,40638,4494,57,18820.412
993755,117705,1868,304093,34204,2557,54,18820.877
1761880,373877,5808,802767,136911,10262,67,18820.914
1726044,222660,4874,579280,69008,6819,57,18821.301
1434227,173350,3139,463392,51967,4366,59,18961.039
1183545,209457,3677,485153,74362,5816,65,19033.297
1088138,135577,2834,341492,40956,4122,57,19034.627
1765928,267057,4548,690439,106440,7909,71,19048.264
942379,143087,2344,374362,49833,3770,64,19061.986
1672063,276032,6298,917631,131967,13957,78,19085.354
1177019,136015,2451,371453,40221,3415,58,19094.037
859888,97820,1996,261241,28456,2798,55,19095.512
1325956,103078,2237,404148,30104,3255,57,19110.854
1012722,67504,2305,305075,19751,3085,55,19462.877
1473151,222861,4005,629419,88903,6102,68,19466.100
1020530,105910,1867,310897,31150,3051,56,20002.385
1195592,160675,3552,385064,47764,4884,58,20010.572
996878,128431,2778,314350,37634,3759,57,20018.104
561252,59689,1358,166007,17126,2122,51,20021.711
1552479,299648,6159,884397,132901,10999,76,20535.070
1074046,168762,3803,404822,57416,5681,63,20593.480
1002240,116404,2401,311380,34220,3320,56,20833.441
3907358,366127,366,601883,-48432,304,17,21159.770
1803175,139438,9997,1318050,27845,25048,71,21175.066
1817865,141670,5846,872896,31384,12164,74,21178.965
1262668,68416,2727,694751,6220,6107,2488,21180.016
1099428,180545,3238,359977,59530,4667,68,21184.033
1303579,183695,2254,692677,324147,-12622,2224,21184.990
1308468,211567,2431,436119,70275,2295,65,21186.137
1021930,142671,2642,398749,54834,4335,68,21186.994
1713629,437757,7534,1235839,258375,18286,90,21187.678
2085751,336112,6728,812934,119411,10110,60,21187.715
922884,213110,3859,385976,80063,5525,62,21188.154
2206917,294119,6630,854569,107885,10414,65,21188.352
1185283,213094,3895,478643,78125,6859,58,21188.445
1197855,81895,3049,372987,28220,4368,59,21189.469
1522189,142593,3472,474316,44748,4989,60,21193.732
1086432,192058,3485,459917,72838,5831,69,21195.986
1519272,183257,3914,487254,56004,5767,60,21207.043
936569,132395,2479,302739,39898,3508,57,21208.684
1183116,127707,2490,370500,38041,3733,57,21216.240
1345915,115862,2097,406078,33724,3184,56,21234.262
1431898,159555,11641,444495,47642,16053,58,21235.590
1200537,97890,1702,366735,28864,2929,56,21237.861
1240467,244031,6289,603007,102062,11095,71,21239.566
1321548,230801,3838,557727,81737,5924,67,21250.395
1000916,94327,1562,306666,27928,2572,55,21255.213
2578403,746983,10576,1039023,252725,16661,69,21255.941
1305042,87397,1895,401717,25836,2439,58,21258.781
971990,160253,2375,314773,48127,3325,58,21260.363
1280738,241140,3684,500308,82721,6142,63,21326.781
1446678,115937,2500,449217,33856,3680,57,21327.695
1159971,170339,3272,406445,56334,5151,61,21329.605
2605207,326759,9579,882498,106237,13878,64,21332.582
1338919,152356,2664,423460,44980,3677,59,21343.004
1088245,121549,2591,339142,35678,3597,58,21344.885
1786523,265810,5324,636716,87237,7981,63,21345.754
1107704,110408,1501,336429,32073,2078,57,21350.836
1495909,207666,3524,606214,76365,5888,66,21359.879
767253,166344,3520,340746,64132,5857,66,21361.195
1347042,145081,3113,426673,42661,4203,59,21362.814
966303,89313,1465,290260,26160,1839,55,21367.523
934356,127265,2486,290834,37394,3450,54,21367.732
1937310,440190,6687,812011,173989,11548,71,21370.527
581054,61735,1111,173819,17949,1900,52,21427.764
2663994,776542,10395,1546143,363410,21371,81,21432.266
1912676,339980,7837,990209,177272,15016,83,21434.055
662100,81306,1371,194160,23131,1671,47,21434.385
2570402,434940,9328,893517,141678,13839,62,21434.551
1005231,82820,2886,306797,24422,3567,56,21435.623
1026867,101936,1571,312862,29885,2115,56,21436.895
1232110,90119,1869,371475,26555,2503,56,21440.453
1153168,101660,2470,354106,30020,3097,54,21440.695
1254254,120882,2166,389189,35850,2489,57,21441.207
1261504,81941,1245,378617,23678,1613,53,21441.391
1151250,135952,1765,362734,40758,2518,57,21442.617
1103391,120686,2482,350617,36226,3801,58,21446.563
1966719,351111,5902,940448,142648,10622,72,21451.773
1063979,85973,1575,319418,25208,2057,55,21457.465
1119487,219671,3020,485905,78538,4577,67,21461.930
1920509,176782,4367,623300,54643,6320,60,21464.051
1350559,151534,2271,426822,45176,3099,59,21466.559
1054097,127856,2430,328508,37667,3455,57,21468.986
1254730,127547,2568,391364,37563,3555,58,21471.461
988952,170717,3296,384863,56029,4938,63,21473.668
1283740,89043,1665,385283,26126,2613,56,21474.535
1452587,287854,5866,761477,126519,10833,75,21484.605
