T,5w1,5w2,5w3,5w4,5w5,2w1,2w2,2w3,2w4,2w5,LY1
0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,0.7021929824561404,0.8495955510616784,0.9207317073170731,0.7289156626506024,0.5923076923076923,0.8301832208293154,0.7903225806451613,0.3335284933645589,0.8438375350140056,0.7529411764705882,0.6946487394548797
4,0.925,0.35768452982810917,0.9525862068965517,0.9673913043478262,0.6492307692307693,0.41359691417550626,0.6653225806451613,0.0,1.0,0.28165404775771696,0.9337078651685393
6,0.07631578947368421,0.06749241658240647,0.31044995794785535,0.3994237820848612,0.007128205128205127,0.04918032786885246,0.25201612903225806,0.0,0.7860644257703082,0.12719860221316248,0.7454440729333909
8,0.0125,0.010869565217391304,0.04846509671993272,0.13449449973808275,0.026102564102564105,0.06678881388621022,0.07243663594470046,0.0,0.3158263305322129,0.017146185206755968,0.22365355872872886
10,0.0017543859649122805,0.0,0.0,0.011458878994237821,0.0016656410256410256,0.008259402121504339,0.004032258064516129,0.0,0.02626050420168067,0.0,0.02264047874429264
12,0.00017543859649122806,0.0,0.0,0.0,0.0001282051282051282,0.0009373191899710703,0.009850230414746544,0.0,0.011904761904761904,4.950495049504951e-05,0.00011235955056179774
14,8.771929824561403e-06,0.0,0.0,0.0,5.282051282051282e-05,0.0003059787849566056,0.00027592165898617513,0.0,0.00010154061624649861,1.5783343040186373e-05,0.0
16,8.771929824561404e-07,0.0,1.471825063078217e-05,0.0,2.564102564102564e-06,3.400192864030858e-05,0.00022767857142857144,0.0,0.0,2.073383808969132e-06,0.0
