T,5w1,5w2,5w3,5w4,5w5,2w1,2w2,2w3,2w4,2w5,LY1
0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,0.7306603773584905,0.8495955510616784,1.4311274509803922,1.0794529469228265,0.5923076923076923,0.8301832208293154,0.8860672614962251,0.3335284933645589,1.359950248756219,0.9848252344416027,1.058388428097058
4,0.9627358490566038,0.35768452982810917,1.539705882352941,1.5810810810810811,0.6492307692307693,0.41359691417550626,0.7371310912834592,0.0,1.5880597014925373,0.3413469735720375,1.4619415754912182
6,0.07830188679245284,0.06749241658240647,0.5144607843137254,0.6014327580592641,0.007128205128205127,0.04918032786885246,0.287920384351407,0.0,1.2506218905472637,0.16163682864450127,1.1783515182618165
8,0.0125,0.010869565217391304,0.07181372549019607,0.21963529794855097,0.026102564102564105,0.06678881388621022,0.08013040494166095,0.0,0.4848258706467662,0.021278772378516622,0.36472193309319206
10,0.0018867924528301885,0.0,0.0,0.018804949527841095,0.0016656410256410256,0.008259402121504339,0.004032258064516129,0.0,0.03992537313432836,0.0,0.034493402647568186
12,0.00018867924528301886,0.0,0.0,0.0,0.0001282051282051282,0.0009373191899710703,0.010192175703500343,0.0,0.016666666666666666,7.246376811594203e-05,0.00011235955056179774
14,9.433962264150944e-06,0.0,0.0,0.0,5.282051282051282e-05,0.0003059787849566056,0.000327213452299245,0.0,0.0001579601990049751,2.0375106564364877e-05,0.0
16,9.433962264150943e-07,0.0,2.2303921568627454e-05,0.0,2.564102564102564e-06,3.400192864030858e-05,0.00027127659574468084,0.0,0.0,2.7621483375959077e-06,0.0
