T,5w1,5w2,5w3,5w4,5w5,2w1,2w2,2w3,2w4,2w5,Rw1,Rw2,Rw3,Rw4,Rw5,LY1
0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,0.8801136363636364,0.9063348416289593,1.0592515592515592,1.1780167264038233,1.1352657004830917,1.3707236842105264,1.0102401129943503,0.47916666666666663,1.0061648280337443,1.0468515742128934,1.1592307692307693,0.6510903426791277,1.1625132555673383,1.0634920634920635,1.1276853776853777,1.1565437043544502
4,1.029971590909091,1.0289592760180994,1.9802494802494803,1.1762246117084827,1.5628019323671498,1.3743421052631577,1.4470338983050848,0.23088972431077695,1.2344797750378542,1.1839080459770115,1.3188461538461538,0.33529035865484463,0.9726935312831388,1.4714541730670763,0.5391545391545391,1.1490887422768614
6,1.0725852272727274,1.0402714932126698,1.7065142065142065,1.2561230585424132,1.4559178743961354,1.1213815789473685,1.2136299435028248,0.0008928571428571427,1.238589660393684,1.7112693653173414,0.9819230769230769,0.09721223739915329,0.8940438317426652,1.5044802867383513,0.363998613998614,1.3485135434451727
8,0.9099431818181818,0.9117647058823529,1.8419958419958422,1.5340501792114694,1.681159420289855,1.092763157894737,1.550023540489642,0.0014481516290726817,1.6083711875405582,1.3493253373313343,1.7915384615384617,0.0,0.8693001060445387,1.584741423451101,0.043277893277893276,1.1632344864637705
10,0.3796875,0.5515837104072399,1.04002079002079,1.2249103942652328,0.3182367149758454,0.3246710526315789,0.5513182674199624,0.009471021303258144,0.7563270603504217,0.7684907546226887,0.5553846153846154,0.0003418803418803419,0.404559915164369,0.928699436763953,0.017584892584892584,0.8381857786946476
12,0.18735795454545454,0.5624434389140271,1.4306999306999306,0.581989247311828,0.5223429951690821,0.18388157894736842,0.7384651600753296,0.0017457706766917293,0.6698031581224313,0.6736631684157921,0.4292307692307692,0.0012924354980429747,0.48842347119123364,0.5843573988735279,0.0051628551628551626,0.647163087448254
14,0.09389204545454545,0.42443438914027154,0.89492376992377,0.345131421744325,0.2816425120772946,0.13421052631578947,0.4338512241054614,0.003929981203007519,0.5832792558944409,0.4718890554722639,0.13653846153846155,0.00247008547008547,0.15288087663485328,0.17601126472094214,0.0013132363132363134,0.28293867864652544
16,0.047585227272727265,0.2719457013574661,0.428014553014553,0.2606033452807646,0.08309178743961351,0.06046052631578948,0.262241054613936,0.007513157894736842,0.24897252866104258,0.37043978010994505,0.08573076923076922,0.002852823707963895,0.17232237539766704,0.10407066052227343,0.008158350658350659,0.12406832935317365
18,0.0031249999999999997,0.050859728506787334,0.11235273735273735,0.03511051373954599,0.034239130434782605,0.018289473684210526,0.015419020715630885,0.004599624060150376,0.08782176076141034,0.15417291354322837,0.04634615384615384,0.004002236600367442,0.07533580770590315,0.05044802867383512,0.014662162162162162,0.04897056660954043
20,0.0007812499999999999,0.031538461538461536,0.06650207900207901,0.021236559139784943,0.006636473429951691,0.012828947368421051,0.01843220338983051,0.0027932330827067668,0.05849015790612157,0.15502248875562216,0.03157692307692308,0.004754812684719226,0.04776422764227642,0.060061443932411675,0.01761902286902287,0.021060334613557195
22,0.003625,0.017923076923076924,0.03469334719334719,0.012470131421744326,0.0077657004830917874,0.011730263157894737,0.012875470809792844,0.0015830200501253133,0.04145576465498594,0.02869815092453773,0.010134615384615384,0.0026636712197459864,0.03693884764934605,0.033614951356886844,0.027115211365211365,0.00805728332700576
24,0.005410653409090909,0.011780995475113121,0.016614691614691614,0.010031362007168459,0.006980676328502415,0.009858552631578948,0.014286723163841808,0.0026201441102756892,0.02959441920830629,0.005759620189905047,0.004234615384615384,0.0013657240993689593,0.027748320961470483,0.022452636968766,0.018777200277200277,0.009578056228745604
26,0.004488778409090909,0.003567873303167421,0.01366943866943867,0.009525089605734767,0.010066425120772948,0.00743421052631579,0.013388653483992468,0.0015692355889724311,0.026739130434782606,0.00680784607696152,0.0016769230769230772,0.0007431903506669862,0.018716861081654292,0.017137736815156172,0.0151004851004851,0.009127120519535351
28,0.006291619318181818,0.0024610859728506785,0.010848925848925849,0.007933094384707289,0.011582125603864735,0.006631578947368421,0.012621233521657251,0.0012037907268170427,0.023936837551373567,0.0075937031484257875,0.0012596153846153846,0.0010661794073009026,0.010505478967833156,0.01464925755248336,0.014799029799029799,0.006613541516401976
30,0.006913068181818182,0.003939366515837104,0.01305093555093555,0.01677568697729988,0.01881400966183575,0.008960526315789474,0.011840866290018832,0.0010465225563909774,0.029298074843175422,0.008531984007996003,0.0012100000000000001,0.0015768032590462496,0.010105160834217038,0.012805939580133128,0.015437803187803188,0.007919569379011863
34,0.004356534090909091,0.007796380090497737,0.002066874566874567,0.011743727598566308,0.009024154589371981,0.007328947368421053,0.006910310734463277,0.000543703007518797,0.01583603720527796,0.02126286856571714,0.0035723076923076923,0.002404744787922358,0.005607104984093319,0.007606246799795187,0.008432952182952183,0.004700016601666724
36,0.007373579545454546,0.003574660633484163,0.00994109494109494,0.007404719235364397,0.009568840579710145,0.007921052631578947,0.005593220338983051,0.0011485275689223058,0.010768981181051265,0.009690654672663668,0.004756153846153846,0.0017467050083872513,0.004627960410038883,0.005271377368151562,0.006188669438669438,0.00272277848471139
38,0.0050828125000000005,0.012610859728506788,0.0089758316008316,0.004940561529271206,0.008114734299516908,0.00762171052631579,0.005241290018832392,0.0011095394736842104,0.007684404066623404,0.011419540229885058,0.0033726923076923074,0.0010216470964134515,0.0025146694945210324,0.005437788018433179,0.00418000693000693,0.0022315739955075216
