T,2w3.1,2w3.2,2w3.3,2w4.1,2w4.2,2w4.3,2w5.1,2w5.2,2w5.3,Rw1.1,Rw1.2,Rw1.3,Rw2.1,Rw2.2,Rw2.3,Rw3.1,Rw3.2,Rw3.3,Rw4.1,Rw4.2,Rw4.3,Rw5.1,Rw5.2,Rw5.3,
0,14,39,34,85,84,63,82,95,90,52,82,64,32,63,43,100,132,123,88,119,118,65,82,70,
2,0,32,26,70,72,127,82,95,90,64,57,70,0,10,1,4,113,70,80,134,104,9,5,4,
4,13,15,13,16,16,13,36,42,17,3,23,92,0,7,1,2,5,8,8,14,12,0,0,0,
6,0,7,5,0,11,1,5,16,5,181,17,14,1,16,0,4,11,6,30,46,37,1,0,1,
8,0,5,2,14,19,16,22,11,2,78,35,85,11,40,12,52,51,39,152,48,95,7,5,6,
10,0,5,0,2,32,58,31,19,12,149,24,410,23,251,46,189,54,144,56,71,63,23,4,83,
12,0,7,0,0,19,1,31,13,3,39,9,168,244,702,290,87,17,105,391,613,425,208,123,187,
14,122,337,299,44,126,121,165,93,135,152,103,395,198,915,275,324,166,1108,1243,1681,1557,334,186,418,
