CFU_DR_LY1,CFU_NR_LY1,FC_DR_LY1,FC_NR_LY1,umax_DR_LY1,umax_NR_LY1
111,117,34132882,28977052,0.294,0.258
112,93,29383284,27685166,0.3,0.276
117,87,28815626,29092450,0.282,0.27
128,61,28231026,29456487,0.27,0.294
,,28785957,29089478,,
