Diet,CFU,FC_count,umax
DR,111,34132882,0.294
DR,112,29383284,0.3
DR,117,28815626,0.282
DR,128,28231026,0.27
DR,,28785957,
NR,117,28977052,0.258
NR,93,27685166,0.276
NR,87,29092450,0.27
NR,61,29456487,0.294
NR,,29089478,
