Evolution,Assay,A,umax,Lhr,e0,W,History,trts,mubar,yield
dre,dra,2.4554,0.3045,1.6443075,8.918927536,2.312165408,selected,DEDA,0.112121104,616266622
dre,dra,2.638825,0.2415,0,10.90535825,2.203576534,selected,DEDA,0.091698042,707933523.7
dre,dra,2.30865,0.3015,0.60776125,9.478431372,1.908588987,selected,DEDA,0.105502689,636079710
dre,dra,2.352725,0.2655,0.760589583,10.8631422,2.134807705,selected,DEDA,0.092054397,827165814.3
dre,dra,2.0805,0.2805,0.539849167,9.574434964,2.63396633,selected,DEDA,0.104444806,723391525.2
ypde,dra,1.814775,0.312,0.936360556,8.397498634,2.003324355,alternate,YEDA,0.11908308,683584641.3
ypde,dra,1.804725,0.285,1.467494167,9.36179894,1.856424503,alternate,YEDA,0.106817077,638549208.2
ypde,dra,1.5992,0.2805,2.121262917,2.500945804,1.810382602,alternate,YEDA,0.399848729,976894495.4
ypde,dra,1.97355,0.297,1.512818333,10.55555555,1.967662436,alternate,YEDA,0.094736842,809452095.3
ypde,dra,2.426575,0.225,1.830144167,10.26863605,2.006576357,alternate,YEDA,0.097383917,819423965.8
dre,ypda,2.46245,0.282,0.004914167,4.39113282,1.818780139,alternate,DEYA,0.227731668,17916296.3
dre,ypda,2.638925,0.2835,0.129622083,4.237341292,1.709812084,alternate,DEYA,0.235997039,10444814.81
dre,ypda,2.5674,0.3465,0.188984167,4.551677489,1.732499746,alternate,DEYA,0.219699221,21494814.81
dre,ypda,2.40675,0.348,0.254355417,5.571225086,1.669053479,alternate,DEYA,0.179493735,24449259.26
dre,ypda,2.185225,0.2685,0.649691667,4.080453021,1.88775916,alternate,DEYA,0.245070828,14125925.93
ypde,ypda,2.037225,0.291,1.3440475,3.630613464,2.147001907,selected,YEYA,0.275435546,24256296.3
ypde,ypda,2.06935,0.276,1.553157917,4.031855568,1.868136502,selected,YEYA,0.248024758,22691481.48
ypde,ypda,2.1133,0.249,1.182638333,3.702256335,1.848414526,selected,YEYA,0.270105554,24074814.81
ypde,ypda,2.227875,0.2595,1.117629167,3.244122141,1.904995374,selected,YEYA,0.3082498,23170740.74
ypde,ypda,2.36515,0.2505,0.26985875,3.941792269,1.971717317,selected,YEYA,0.253691705,26610000
