T,5w1.1,5w1.2,5w1.3,5w2.1,5w3.1,5w3.3,5w4.1,5w4.2,5w4.3,5w5.1,5w5.2,5w5.3,2w1.1,2w1.2,2w1.3,2w2.1,2w2.2,2w2.3,LY1.3,5w2.4,5w2.5,5w2.6,LY1.4,LY1.5,LY1.6,2w3.2,2w3.3,2w4.1,2w4.2,2w4.3,2w5.1,2w5.2,2w5.3,Rw1.1,Rw1.2,Rw1.3,Rw2.1,Rw2.2,Rw2.3,Rw3.1,Rw3.2,Rw3.3,Rw4.1,Rw4.2,Rw4.3,Rw5.1,Rw5.2,Rw5.3
0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,1.0,1.0,1.0,0.38095238095238093,1.0,0.8869047619047619,0.7900552486187845,1.0,1.0,1.0,0.7962962962962963,1.0,0.9509803921568627,0.9852941176470589,0.81,1.0,0.8584070796460177,0.9578947368421052,1.0,0.4838709677419355,0.6382978723404256,0.8062015503875969,0.9787234042553191,1.0,0.7023255813953488,0.8205128205128205,0.7647058823529411,0.8235294117647058,0.8571428571428571,1.0,1.0,1.0,1.0,1.0,0.6951219512195121,0.7608695652173914,0.0,0.15873015873015872,0.023255813953488372,0.04,0.8560606060606061,0.5691056910569106,0.9090909090909091,1.0,0.8813559322033898,0.13846153846153847,0.06097560975609756,0.05714285714285714
4,0.5245901639344263,0.6237623762376238,0.5648148148148148,0.3904761904761905,0.7727272727272727,0.5952380952380952,1.0,0.8760330578512396,0.972972972972973,0.7029702970297029,0.5185185185185185,0.4049586776859504,0.4117647058823529,0.29411764705882354,0.31,0.6153846153846154,0.36283185840707965,0.3473684210526316,0.7435897435897436,0.33548387096774196,0.5815602836879432,0.24806201550387597,1.0,0.6517857142857143,1.0,0.38461538461538464,0.38235294117647056,0.18823529411764706,0.19047619047619047,0.10236220472440945,0.43902439024390244,0.4421052631578947,0.18888888888888888,0.046875,0.2804878048780488,1.0,0.0,0.1111111111111111,0.023255813953488372,0.02,0.03787878787878788,0.06504065040650407,0.09090909090909091,0.1044776119402985,0.1016949152542373,0.0,0.0,0.0
6,0.09836065573770492,0.0594059405940594,0.046296296296296294,0.06666666666666667,0.03977272727272727,0.15476190476190477,0.1712707182320442,0.2892561983471074,0.22972972972972974,0.07920792079207921,0.046296296296296294,0.04132231404958678,0.06862745098039216,0.029411764705882353,0.04,0.1346153846153846,0.061946902654867256,0.07368421052631578,0.5025641025641026,1.0,1.0,0.4263565891472868,0.7021276595744681,0.5178571428571429,0.5627906976744186,0.1794871794871795,0.14705882352941177,0.0,0.13095238095238096,0.007874015748031496,0.06097560975609756,0.16842105263157894,0.05555555555555555,0.28125,0.2073170731707317,0.15217391304347827,0.03125,0.25396825396825395,0.0,0.04,0.08333333333333333,0.04878048780487805,0.3409090909090909,0.34328358208955223,0.3135593220338983,0.015384615384615385,0.0,0.014285714285714285
8,0.03278688524590164,0.039603960396039604,0.06481481481481481,0.02857142857142857,0.017045454545454544,0.06547619047619048,0.011049723756906077,0.30578512396694213,0.12162162162162163,0.0,0.018518518518518517,0.0,0.008823529411764704,0.007352941176470587,0.009,0.075,0.024778761061946902,0.01894736842105263,0.24102564102564103,0.017419354838709676,0.027659574468085105,0.010852713178294573,0.19680851063829788,0.17857142857142858,0.19069767441860466,0.012820512820512818,0.00588235294117647,0.01647058823529412,0.022619047619047615,0.012598425196850392,0.026829268292682926,0.011578947368421053,0.002222222222222222,0.0121875,0.00426829268292683,0.00923913043478261,0.0034375,0.006349206349206349,0.0027906976744186047,0.0052,0.003863636363636364,0.0031707317073170734,0.017272727272727273,0.003582089552238806,0.008050847457627118,0.0010769230769230769,0.0006097560975609756,0.0008571428571428571
10,0.004344262295081967,0.00900990099009901,0.01601851851851852,0.0037142857142857142,0.008522727272727272,0.008333333333333333,0.01767955801104972,0.043801652892561986,0.016216216216216217,0.005544554455445544,0.002685185185185185,0.0014049586776859503,0.00303921568627451,0.003676470588235294,0.0056,0.004134615384615385,0.0025663716814159293,0.003789473684210526,0.055384615384615386,0.009677419354838708,0.006382978723404254,0.006976744186046511,0.08457446808510637,0.08348214285714285,0.07116279069767441,0.001282051282051282,0.0,0.00023529411764705883,0.0038095238095238095,0.004566929133858267,0.0037804878048780487,0.002,0.0013333333333333333,0.002328125,0.0002926829268292683,0.0044565217391304346,0.00071875,0.003984126984126984,0.0010697674418604652,0.00189,0.0004090909090909091,0.0011707317073170731,0.006363636363636364,0.005298507462686567,0.005338983050847458,0.00035384615384615386,4.878048780487805e-05,0.0011857142857142858
12,0.0006557377049180328,0.000594059405940594,0.0008333333333333334,0.0010476190476190477,0.00045454545454545455,0.0005357142857142857,0.0013259668508287293,0.004710743801652892,0.002027027027027027,0.001188118811881188,0.00018518518518518518,0.0007438016528925619,0.0014705882352941176,0.002058823529411765,0.0007,0.000673076923076923,0.0023893805309734514,0.0007368421052631579,0.017435897435897435,0.0014193548387096775,0.0010638297872340426,0.0008527131782945736,0.013398936170212766,0.02134375,0.014818604651162791,0.0017948717948717949,0.0,0.0,0.002261904761904762,7.874015748031496e-05,0.0037804878048780487,0.0013684210526315789,0.0003333333333333333,0.000609375,0.00010975609756097561,0.0018260869565217392,0.0007625,0.0011142857142857144,0.0006744186046511628,0.00087,0.00012878787878787878,0.0008536585365853659,0.004443181818181818,0.004574626865671642,0.0036016949152542373,0.00032,0.00015,0.0002671428571428571
14,0.00042622950819672133,0.0001683168316831683,0.00021296296296296298,0.00045714285714285713,0.00125,0.0006547619047619047,0.0008674033149171271,0.0019752066115702478,0.00045945945945945947,0.000297029702970297,0.00012037037037037037,0.0004214876033057851,0.0007254901960784313,0.0026470588235294116,0.00063,0.0006826923076923077,0.0014778761061946903,0.00047368421052631577,0.002051282051282051,9.67741935483871e-05,0.00020567375886524822,0.0003565891472868217,0.0027659574468085106,0.006875,0.005023255813953489,0.0008641025641025641,0.0008794117647058824,0.0005176470588235294,0.0015,0.000952755905511811,0.0020121951219512196,0.0009789473684210525,0.0015,0.0002375,0.00012560975609756097,0.0004293478260869565,0.00061875,0.0014523809523809524,0.0006395348837209302,0.000324,0.00012575757575757575,0.0009008130081300813,0.0014125,0.0012544776119402985,0.0013194915254237287,0.0005138461538461538,0.00022682926829268292,0.0005971428571428572
