T,5w1.1,5w1.2,5w1.3,5w2.1,5w3.1,5w3.3,5w4.1,5w4.2,5w4.3,5w5.1,5w5.2,5w5.3,2w1.1,2w1.2,2w1.3,2w2.1,2w2.2,2w2.3,LY1.3,5w2.4,5w2.5,5w2.6,LY1.4,LY1.5,LY1.6,2w3.2,2w3.3,2w4.1,2w4.2,2w4.3,2w5.1,2w5.2,2w5.3,Rw1.1,Rw1.2,Rw1.3,Rw2.1,Rw2.2,Rw2.3,Rw3.1,Rw3.2,Rw3.3,Rw4.1,Rw4.2,Rw4.3,Rw5.1,Rw5.2,Rw5.3
0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,1.50617284,1,1.285714286,0.380952381,1,0.886904762,0.899371069,1.24742268,1.436893204,1.01,0.796296296,1.222222222,0.950980392,0.985294118,0.81,1.386666667,0.85840708,0.957894737,1.107954545,0.773195876,0.857142857,0.80620155,1.063583815,1.493333333,0.825136612,0.820512821,0.764705882,0.823529412,0.857142857,2.015873016,1,1,1,1.230769231,0.695121951,1.09375,0,0.158730159,0.023255814,0.04,0.856060606,0.569105691,0.909090909,1.12605042,0.881355932,0.138461538,0.06097561,0.057142857
4,0.790123457,0.623762376,0.726190476,0.39047619,0.772727273,0.595238095,1.13836478,1.092783505,1.398058252,0.71,0.518518519,0.494949495,0.411764706,0.294117647,0.31,0.853333333,0.362831858,0.347368421,0.823863636,0.536082474,0.780952381,0.248062016,1.086705202,0.973333333,1.174863388,0.384615385,0.382352941,0.188235294,0.19047619,0.206349206,0.43902439,0.442105263,0.188888889,0.057692308,0.280487805,1.4375,0,0.111111111,0.023255814,0.02,0.037878788,0.06504065,0.090909091,0.117647059,0.101694915,0,0,0
6,0.148148148,0.059405941,0.05952381,0.066666667,0.039772727,0.154761905,0.194968553,0.360824742,0.330097087,0.08,0.046296296,0.050505051,0.068627451,0.029411765,0.04,0.186666667,0.061946903,0.073684211,0.556818182,1.597938144,1.342857143,0.426356589,0.76300578,0.773333333,0.661202186,0.179487179,0.147058824,0,0.130952381,0.015873016,0.06097561,0.168421053,0.055555556,0.346153846,0.207317073,0.21875,0.03125,0.253968254,0,0.04,0.083333333,0.048780488,0.340909091,0.386554622,0.313559322,0.015384615,0,0.014285714
8,0.049382716,0.03960396,0.083333333,0.028571429,0.017045455,0.06547619,0.012578616,0.381443299,0.174757282,0,0.018518519,0,0.008823529,0.007352941,0.009,0.104,0.024778761,0.018947368,0.267045455,0.027835052,0.037142857,0.010852713,0.213872832,0.266666667,0.224043716,0.012820513,0.005882353,0.016470588,0.022619048,0.025396825,0.026829268,0.011578947,0.002222222,0.015,0.004268293,0.01328125,0.0034375,0.006349206,0.002790698,0.0052,0.003863636,0.003170732,0.017272727,0.004033613,0.008050847,0.001076923,0.000609756,0.000857143
10,0.00654321,0.009009901,0.020595238,0.003714286,0.008522727,0.008333333,0.020125786,0.054639175,0.023300971,0.0056,0.002685185,0.001717172,0.003039216,0.003676471,0.0056,0.005733333,0.002566372,0.003789474,0.061363636,0.015463918,0.008571429,0.006976744,0.091907514,0.124666667,0.083606557,0.001282051,0,0.000235294,0.003809524,0.009206349,0.003780488,0.002,0.001333333,0.002865385,0.000292683,0.00640625,0.00071875,0.003984127,0.001069767,0.00189,0.000409091,0.001170732,0.006363636,0.005966387,0.005338983,0.000353846,4.88E-05,0.001185714
12,0.000987654,0.000594059,0.001071429,0.001047619,0.000454545,0.000535714,0.001509434,0.005876289,0.002912621,0.0012,0.000185185,0.000909091,0.001470588,0.002058824,0.0007,0.000933333,0.002389381,0.000736842,0.019318182,0.002268041,0.001428571,0.000852713,0.014560694,0.031873333,0.017409836,0.001794872,0,0,0.002261905,0.00015873,0.003780488,0.001368421,0.000333333,0.00075,0.000109756,0.002625,0.0007625,0.001114286,0.000674419,0.00087,0.000128788,0.000853659,0.004443182,0.005151261,0.003601695,0.00032,0.00015,0.000267143
14,0.000641975,0.000168317,0.00027381,0.000457143,0.00125,0.000654762,0.000987421,0.002463918,0.000660194,0.0003,0.00012037,0.000515152,0.00072549,0.002647059,0.00063,0.000946667,0.001477876,0.000473684,0.002272727,0.000154639,0.00027619,0.000356589,0.00300578,0.010266667,0.005901639,0.000864103,0.000879412,0.000517647,0.0015,0.001920635,0.002012195,0.000978947,0.0015,0.000292308,0.00012561,0.000617188,0.00061875,0.001452381,0.000639535,0.000324,0.000125758,0.000900813,0.0014125,0.001412605,0.001319492,0.000513846,0.000226829,0.000597143
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6.004,4.465089109,5.353404762,2.743771429,4.679545455,4.423809524,5.535811321,7.290907216,7.733359223,4.6142,3.765240741,4.541636364,3.890862745,3.649117647,3.35186,6.07656,3.62879646,3.805789474,6.677272727,6.905876289,7.056742857,3.999317829,7.473283237,8.346946667,6.984327869,3.802753846,3.601758824,3.057976471,3.41752381,5.549555556,4.072804878,4.252905263,3.499666667,4.307046154,3.375446341,6.545859375,1.073575,2.073419048,1.103372093,1.216568,2.9636,2.378045528,3.740802273,4.293631933,3.629842373,1.312221538,1.124021951,1.148671429
