T,5w1.1,5w1.2,5w1.3,5w2.1,5w3.1,5w3.3,5w4.1,5w4.2,5w4.3,5w5.1,5w5.2,5w5.3,2w1.1,2w1.2,2w1.3,2w2.1,2w2.2,2w2.3,LY1.3,5w2.4,5w2.5,5w2.6,LY1.4,LY1.5,LY1.6
0,81,101,84,105,176,168,159,97,103,100,108,99,102,68,100,75,113,95,176,97,105,129,173,150,183
2,122,101,108,40,176,149,143,121,148,101,86,121,97,67,81,104,97,91,195,75,90,104,184,224,151
4,64,63,61,41,136,100,181,106,144,71,56,49,42,20,31,64,41,33,145,52,82,32,188,146,215
6,12,6,5,7,7,26,31,35,34,8,5,5,7,2,4,14,7,7,98,155,141,55,132,116,121
8,4,4,7,3,3,11,2,37,18,0,2,0,9,5,9,78,28,18,47,27,39,14,37,40,41
10,53,91,173,39,15,14,32,53,24,56,29,17,31,25,56,43,29,36,108,15,9,9,159,187,153
12,8,6,9,11,8,9,24,57,30,12,2,9,15,14,7,7,27,7,34,22,15,11,2519,4781,3186
14,52,17,23,48,22,11,157,239,68,30,13,51,74,180,63,71,167,45,4,15,29,46,52,154,108
