T,5w1.1,5w1.2,5w2.1,5w2.2,5w3.1,5w3.2,5w4.1,5w4.2,5w5.1,5w5.2,2w1.1,2w1.2,2w2.1,2w2.2,2w3.1,2w3.2,2w4.1,2w4.2,2w5.1,2w5.2,LY1.1,LY1.2,LY1.3,LY1.5,LY1.6
0,53,40,43,46,102,40,83,74,39,25,85,61,94,62,84,61,60,67,85,69,178,53,94,87,80
2,43,26,31,45,116,69,76,92,15,20,84,41,112,36,34,16,62,113,43,101,99,74,98,90,101
4,57,34,13,19,105,82,166,86,21,19,9,44,84,36,0,0,84,119,26,26,119,120,142,108,130
6,3,4,3,3,31,29,46,48,4,1,0,6,42,8,0,0,65,95,9,15,95,109,119,89,81
8,0,1,0,1,7,3,23,12,11,6,16,7,9,4,0,0,34,27,14,18,27,38,33,21,29
10,2,0,0,0,0,0,2,1,8,32,15,9,0,5,0,0,3,2,0,0,3,2,10,1,0
12,2,0,0,0,0,0,0,0,1,0,2,1,4,10,0,0,2,0,0,1,1,0,0,0,0
14,1,0,0,0,0,0,0,0,1,2,13,28,6,1,0,0,1,1,1,2,0,0,0,0,0
16,1,0,0,0,2,1,0,0,2,0,16,3,51,0,0,0,0,0,1,3,0,0,0,0,0
