5s,LY,5w,Rw,2s,Rs,si,2w
0.004733333333333333,0.0041,0.004333333333333332,0.016366666666666668,0.004233333333333334,0.004666666666666667,0.004,0.004666666666666666
0.0042,,0.004233333333333333,0.016633333333333333,0.004466666666666667,0.0049,,0.004533333333333333
0.0038666666666666663,,0.004633333333333334,,0.0037333333333333333,,,0.004033333333333333
0.003566666666666667,,0.007566666666666667,0.0046,0.004566666666666667,0.004233333333333333,,0.004066666666666666
0.0031999999999999997,,0.0036666666666666666,0.004566666666666667,0.004366666666666667,0.004166666666666667,,0.004566666666666667
