Media,Metric,5w1,5w2,5w3,5w4,5w5,2w1,2w2,2w3,2w4,2w5,Rw1,Rw2,Rw3,Rw4,Rw5,LY1,5s1,5s2,5s3,5s4,5s5,2s1,2s2,2s3,2s4,2s5,Rs1,Rs2,Rs3,Rs4,Rs5,sir2D
RSV,umax,0.004,0.0028,0.0156,0.0039,0.0044,0.0042,0.0038,0.0037,0.0039,0.0041,0.0038,0.0052,0.0033,0.0045,0.0043,0.006,0.0039,0.0032,0.0081,0.0038,0.0044,0.0035,0.0039,0.0037,0.0042,0.0047,0.0039,0.0045,0.0044,0.0045,0.0047,0.0047
RSV,umax,0.0039,0.0042,0.006,0.0041,0.0045,0.0043,0.0043,NA,0.0043,0.0043,0.0041,0.0044,0.0036,0.0046,0.0043,0.0029,0.0041,0.0095,0.0039,0.0039,0.0048,0.0034,0.0038,0.0037,0.0036,0.0047,0.0041,0.0045,0.0043,0.0046,0.0042,0.0045
RSV,umax,0.0047,0.0035,0.0249,0.0045,0.005,0.0045,0.0039,0.0044,0.0044,0.0046,0.0043,0.0046,0.0037,0.0045,0.0047,0.0031,0.0029,0.0077,0.005,0.0042,0.0042,0.0032,0.0038,0.0041,0.0037,0.0047,0.004,0.0042,0.0042,0.0044,0.0038,0.0047
RSV,A,2.1479,3.1829,13.0324,1.7588,2.095,2.1825,2.7429,1.9353,2.1389,2.1001,2.2509,1.6114,2.8039,1.827,2.2099,1.8842,1.9568,2.0783,5.5458,1.8403,1.8658,2.1028,2.0779,1.8571,1.8047,1.6994,2.0616,1.8543,1.9943,1.8431,2.4318,1.8191
RSV,A,2.1145,2.1773,3.7388,1.9943,1.7881,2.1487,2.031,NA,1.7487,1.7681,2.2327,1.9121,1.8491,1.8423,1.8357,1.9994,1.9259,1.7427,2.5595,1.9309,1.8951,2.1027,2.0545,1.8709,1.4141,1.9822,2.0196,1.7567,2.0873,1.7394,1.9365,1.9096
RSV,A,2.0624,1.8785,17.8079,2.0348,1.9116,2.0044,2.0441,1.7868,1.8063,1.8918,2.1333,1.8472,1.8127,1.8045,1.6802,1.7622,1.9597,2.0662,3.0877,2.2607,1.9099,2.3026,1.9947,2.0129,1.7266,1.9099,2.4149,1.7461,2.0119,1.788,1.8715,1.7431
RSV,L,29.1754,-35.0202,-936.024,93.8505,23.3725,98.9295,-116.9987,110.3563,90.7363,111.2763,62.9818,108.3137,-238.5406,124.1599,-10.9541,217.9549,255.1898,95.6392,-444.918,17.9196,113.0397,57.4973,152.2989,49.0013,135.1698,116.4194,62.1999,76.232,48.1249,76.952,-105.6155,218.315
RSV,L,92.1047,496.9998,-274.7872,50.5216,65.8427,74.1498,203.4464,NA,124.2384,118.5138,101.2297,75.6275,103.9558,85.1733,9.7945,125.6131,369.9517,731.6077,-141.1762,26.8203,29.0602,21.9986,142.3705,48.5488,39.5652,167.2411,73.0314,115.9304,12.3226,108.5797,-68.7202,195.8859
RSV,L,118.0046,40.35,-815.1231,-6.5084,80.5188,51.3664,150.1628,169.7839,128.892,146.3273,142.0745,131.1674,113.0161,131.7116,29.2782,146.2137,146.0855,586.7728,-205.4749,-100.054,96.0785,16.8421,146.8133,115.6102,56.5292,130.9024,-58.2715,108.9234,45.8934,132.4919,-22.7462,207.033
YPD,umax,0.0045,0.0044,0.0054,0.0037,0.0037,0.0042,0.0042,0.0039,0.0044,0.0045,0.0037,0.0395,NA,0.0048,0.0043,0.0041,0.0052,0.0042,0.0034,0.0032,0.0031,0.0043,0.0044,0.0039,0.0047,0.0044,0.0052,0.004,NA,0.0044,0.0042,0.0041
YPD,umax,0.0043,0.0047,0.0041,0.0108,0.0038,0.005,0.0045,0.0041,0.0039,0.0045,0.0403,0.0058,NA,0.0045,0.0047,0.0039,0.0046,0.0041,0.004,0.0039,0.0031,0.0041,0.0046,0.0038,0.0046,0.0044,0.0044,0.0055,NA,0.0041,0.0044,0.0039
YPD,umax,0.0042,0.0036,0.0044,0.0082,0.0035,0.0048,0.0049,0.0041,0.0039,0.0047,0.0051,0.0046,NA,0.0045,0.0047,0.0043,0.0044,0.0043,0.0042,0.0036,0.0034,0.0043,0.0044,0.0035,0.0044,0.0043,0.0044,0.0052,NA,0.0042,0.0039,0.004
YPD,A,1.8324,1.7661,2.8104,2.2588,2.1505,2.1168,1.9705,2.1931,2.9879,2.0701,2.1077,18.6646,NA,2.0522,2.0745,1.9571,3.7125,2.419,2.1119,2.4972,2.4106,1.8778,1.8145,2.1505,1.7758,2.0666,2.8503,2.0954,NA,1.7921,1.8954,1.7556
YPD,A,1.8257,2.0171,2.4264,5.803,2.1678,1.8719,2.0247,2.0161,2.1107,1.9194,21.6552,2.5932,NA,1.8187,1.805,1.7856,2.0112,1.8484,1.8473,2.9046,2.1428,1.8854,1.8009,2.2634,1.8253,2.0819,2.4054,2.0864,NA,1.7388,1.7914,1.6967
YPD,A,2.419,2.1052,4.1983,3.3528,2.6334,1.8075,1.7723,2.0997,1.9575,2.3705,2.6694,2.3238,NA,1.8004,1.8118,4.6993,1.9512,1.8791,1.836,1.9892,2.1067,1.9327,1.8108,2.3236,1.7461,2.0327,2.2755,1.948,NA,1.7766,1.835,1.9036
YPD,L,73.4675,82.8042,-130.0398,35.7215,79.2324,59.74,81.423,151.8595,-186.2117,67.6003,-7.1153,-616.0944,NA,50.7719,88.4729,144.7842,-269.7976,-71.1891,5.3156,90.2294,-81.734,107.9717,133.193,116.5791,91.6083,138.6562,-178.9125,41.6128,NA,162.4033,56.0154,174.2686
YPD,L,80.5046,-26.4939,-69.9824,-366.8749,118.1081,108.9083,112.5318,144.3637,-6.3173,126.3097,-692.0637,-108.8997,NA,125.9641,82.4246,191.2554,45.531,39.4425,-14.3325,-165.5749,17.7692,40.1282,155.3189,81.4167,119.057,113.7863,-99.7289,-78.0157,NA,128.5781,138.8704,160.1268
YPD,L,34.4349,-35.5693,-429.8147,-190.7888,77.5671,109.6237,135.2246,120.7653,81.7346,-49.1498,-102.9629,-110.8266,NA,111.9814,95.6551,-596.1262,84.4081,-27.4415,53.4675,30.4872,60.5665,119.6235,136.5202,42.1304,92.2236,113.6655,-36.9326,-64.0242,NA,105.8507,62.6002,141.5397
DR,umax,0.0056,0.0045,0.0043,0.0043,0.0067,0.0044,0.0037,NA,0.0043,0.0034,0.0042,0.0043,0.0038,0.004,0.0041,0.0045,0.0057,0.0049,0.0047,0.0061,0.0051,0.0038,0.0042,0.0045,0.0043,0.0046,0.003,0.0037,0.0034,0.0042,0.0038,0.0084
DR,umax,0.0047,0.0045,0.0036,0.0043,0.0063,0.0042,0.0042,0.0042,0.0046,0.0037,0.0039,0.0042,0.0045,0.004,0.0043,0.0069,0.0075,0.0057,0.0046,0.0041,0.005,0.0039,0.0042,0.0048,0.0046,0.0034,0.004,0.0042,0.004,0.0043,0.0042,0.006
DR,umax,0.0049,0.0042,0.0041,0.0041,0.0034,0.0045,0.0042,0.004,0.0044,0.004,0.0043,0.0049,0.0037,0.004,0.0044,0.0044,0.0072,0.0047,0.0044,0.0043,0.0049,0.0041,0.0041,0.0047,0.0043,0.0031,0.0043,0.004,0.0041,0.004,0.0043,0.0063
DR,A,1.9464,2.158,2.0268,2.0607,1.6461,1.9395,1.2893,NA,1.5635,2.0262,1.4338,1.3728,1.244,1.3142,1.4751,1.9109,3.0301,2.8316,2.2382,3.1473,2.8571,1.3539,1.2833,1.6761,1.5804,2.0616,2.1001,1.406,1.9575,2.2134,1.6238,4.8217
DR,A,1.7289,2.1003,1.9456,1.7642,1.6709,1.634,1.1623,1.2359,1.751,1.4648,1.2956,1.404,1.4776,1.3726,1.5238,1.6968,1.9118,1.9735,2.6234,2.5034,2.4385,1.1898,1.2337,1.6518,1.8295,1.9723,1.4829,1.4124,1.8991,2.1775,1.468,1.5358
DR,A,1.7524,2.355,2.0193,2.38,1.6052,1.3583,1.2611,1.1701,1.7558,1.5108,1.994,1.5954,1.9632,1.538,1.5234,2.0875,2.0092,1.7258,1.5575,2.498,2.2918,1.6118,1.3989,1.8389,1.8891,2.0456,1.416,1.3083,1.6616,2.2062,1.4828,1.6395
DR,L,-6.5759,-15.5549,22.6351,3.3544,469.7751,79.5856,102.4575,NA,43.0367,158.5002,123.7257,122.9383,109.3187,117.7362,115.0593,-80.081,-149.4535,-151.26,-9.1918,-156.5047,-118.4508,171.7721,96.4837,108.4454,92.6483,124.2751,-46.0508,141.8982,47.8636,81.9128,102.5759,-383.9833
