Curve,b0,A,umax,L,z,umax.lw,umax.up,umax.lw.FI,umax.up.FI
A1,0.1254,1.9815,0.0055,187.1756,-3.3025,0.0054,0.0057,0.0054,0.0057
A2,0.0155,2.3434,0.0039,49.028,-3.6855,0.0038,0.004,0.0038,0.004
A3,-10.7635,13.1368,0.0162,-790.4878,-3.8635,NA,NA,0.0162,0.0163
A4,0.0985,2.049,0.0044,158.4302,-3.694,0.0043,0.0045,0.0043,0.0045
A5,-0.8045,3.083,0.0042,-199.0397,-3.6344,0.0041,0.0046,0.0041,0.0044
A6,-0.4177,2.6924,0.0037,-104.0375,-3.6597,0.0037,0.0038,0.0037,0.0038
A7,-0.1816,2.183,0.0039,-34.7401,-3.055,0.0037,0.004,0.0037,0.004
A8,-0.2743,2.5969,0.0043,-48.2526,-3.5654,0.0042,0.0044,0.0042,0.0044
B1,0.0414,2.2247,0.0049,83.7694,-3.9659,0.0048,0.005,0.0048,0.0049
B2,-0.0803,2.309,0.0053,6.9471,-4.2325,0.0052,0.0053,0.0052,0.0053
B3,-0.4503,2.6498,0.0046,-92.0202,-3.1998,0.0044,0.0048,0.0044,0.0047
B4,0.0401,2.0511,0.0053,55.1462,-4.7162,0.0052,0.0053,0.0052,0.0053
B5,0.103,1.9356,0.0032,144.9311,-3.6314,0.0031,0.0033,0.0032,0.0033
B6,0.0576,1.9411,0.0048,37.6104,-4.2707,0.0047,0.0048,0.0047,0.0048
B7,-0.6968,2.9285,0.0055,-125.8985,-3.49,0.0052,0.0059,0.0053,0.0056
B8,-0.2358,2.6057,0.0042,-54.8681,-3.2911,0.0041,0.0043,0.0041,0.0043
C1,-0.024,2.2122,0.0046,21.3117,-4.03,0.0045,0.0047,0.0046,0.0047
C2,-0.1981,2.337,0.0045,-40.2647,-4.0115,0.0045,0.0046,0.0045,0.0046
C3,0.0675,1.8781,0.0048,39.7518,-4.0258,0.0047,0.0049,0.0047,0.0049
C4,0.0786,1.8947,0.0048,68.5003,-4.3424,0.0048,0.0049,0.0048,0.0049
C5,0.0752,1.9691,0.0049,51.1098,-4.111,0.0048,0.005,0.0048,0.005
C6,0.114,1.8598,0.005,39.3043,-3.9741,0.0049,0.0051,0.0049,0.005
C7,0.1019,1.9499,0.0047,91.2852,-3.9677,0.0047,0.0048,0.0047,0.0048
C8,-0.0146,2.2303,0.0045,37.9554,-4.3853,0.0045,0.0046,0.0045,0.0046
D5,0.0832,1.8835,0.0052,73.6332,-4.5465,0.0051,0.0052,0.0051,0.0052
D6,0.142,1.6989,0.0048,79.905,-4.1075,0.0047,0.0049,0.0048,0.0049
D7,0.1134,1.7795,0.0051,68.8782,-4.0755,0.005,0.0052,0.005,0.0052
D8,0.0847,1.8972,0.0053,74.6821,-4.5054,0.0052,0.0054,0.0052,0.0053
E1,0.0407,2.0802,0.004,66.0186,-4.0427,0.0039,0.0041,0.004,0.004
E2,0.1428,1.5393,0.0048,146.4486,-3.9474,0.0047,0.005,0.0048,0.0049
E3,0.1435,1.8445,0.0052,43.6435,-3.9492,0.0051,0.0053,0.0051,0.0053
E4,0.1366,1.7549,0.005,96.0879,-3.9163,0.0049,0.0051,0.0049,0.0051
E5,0.1617,1.5703,0.0047,146.0632,-4.0263,0.0046,0.0048,0.0046,0.0048
E6,0.15,1.685,0.0047,104.1912,-4.1889,0.0047,0.0048,0.0047,0.0048
E7,0.1487,1.612,0.0047,137.1827,-3.8509,0.0046,0.0048,0.0047,0.0048
E8,0.159,1.5295,0.0046,121.666,-3.7317,0.0045,0.0047,0.0045,0.0047
F1,0.1294,2.1311,0.0052,156.6165,-3.3351,0.005,0.0054,0.005,0.0053
F2,0.1181,1.7308,0.0052,102.1749,-2.5122,0.0047,0.0056,0.0048,0.0055
F3,0.1299,1.7308,0.0053,91.9434,-3.2295,0.0051,0.0055,0.0051,0.0055
F4,-0.085,2.3015,0.0041,12.3416,-3.796,0.004,0.0042,0.004,0.0041
F5,-0.0258,2.143,0.0044,39.1561,-3.1825,0.0042,0.0046,0.0042,0.0045
F6,0.0795,2.5551,0.003,212.7472,-3.4187,0.0029,0.0031,0.003,0.0031
F7,-0.0269,2.7589,0.0032,90.0751,-3.3804,0.0031,0.0033,0.0031,0.0032
F8,0.0771,2.2493,0.0044,97.2562,-3.1605,0.0042,0.0046,0.0043,0.0045
