T,5w1,5w2,5w3,5w4,5w5,2w1,2w2,2w3,2w4,2w5,Rw1,Rw2,Rw3,Rw4,Rw5,LY1
0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,0.746376812,0.793466224,0.422969188,0.760108593,0.707290804,0.881147541,0.584232804,0.479166667,0.625631313,0.610105838,0.661161161,0.651090343,0.945121951,0.664056305,1,0.774271809
4,0.891304348,0.904761905,0.698529412,0.755954095,0.94001657,0.8875,0.86,0.230889724,0.769823232,0.693581427,0.737362362,0.335290359,0.768477458,0.918269231,0.483035714,0.797219609
6,0.913043478,0.889534884,0.612745098,0.814569536,0.767605634,0.720150273,0.762010582,0.000892857,0.786616162,1,0.562937938,0.097212237,0.746920424,0.935418319,0.318818681,0.833451349
8,0.768115942,0.772425249,0.785714286,0.98447205,0.994117647,0.705806011,0.792592593,0.001448152,1,0.785592352,1,0,0.711197339,0.984536082,0.039134615,0.748845531
10,0.326086957,0.465946844,0.417016807,0.789498581,0.210273405,0.210245902,0.340529101,0.009471021,0.469823232,0.447721065,0.34471972,0.00034188,0.318920916,0.576080492,0.016270604,0.514708079
12,0.166666667,0.466777409,0.634103641,0.374460121,0.332477216,0.119398907,0.407724868,0.001745771,0.421590909,0.39326562,0.263263263,0.001292435,0.394000985,0.362757732,0.004924451,0.382140654
14,0.08115942,0.343576966,0.358368347,0.21586936,0.215832643,0.086680328,0.231428571,0.003929981,0.373358586,0.275904746,0.083958959,0.002470085,0.128726287,0.109585646,0.001182005,0.173852725
16,0.04057971,0.219269103,0.199054622,0.163300564,0.059428335,0.038879781,0.139259259,0.007513158,0.152272727,0.215559918,0.047297297,0.002852824,0.145971914,0.064581681,0.006686126,0.07611394
18,0.002898551,0.040365449,0.045343137,0.022666694,0.026420878,0.011919399,0.01026455,0.004599624,0.053535354,0.089578354,0.025375375,0.004002237,0.063038926,0.031259913,0.01196353,0.027558543
20,0.000724638,0.024404762,0.030094538,0.013537082,0.004241094,0.008265027,0.010328042,0.002793233,0.035454545,0.089693581,0.017154655,0.004754813,0.042713723,0.037202617,0.014598283,0.013045692
22,0.002971014,0.01408361,0.015493697,0.008010777,0.005871582,0.007532787,0.008394709,0.00158302,0.024368687,0.016733527,0.005683183,0.002663671,0.032766691,0.020886201,0.023343201,0.004979222
24,0.004521739,0.009333333,0.005882353,0.006551972,0.004347142,0.006359973,0.009210582,0.002620144,0.017373737,0.003337316,0.002352352,0.001365724,0.025991624,0.013808485,0.015814973,0.006097093
26,0.003797101,0.002981728,0.005182073,0.006247789,0.005137531,0.00479235,0.008586243,0.001569236,0.015883838,0.003937777,0.000914665,0.00074319,0.016740576,0.010614592,0.012383242,0.005738805
28,0.005311594,0.002135382,0.003918067,0.005241866,0.005620547,0.004289617,0.008172487,0.001203791,0.014356061,0.004378628,0.00070533,0.001066179,0.009539295,0.009092982,0.012231456,0.003898786
30,0.005905797,0.003616279,0.00480042,0.01108202,0.008536454,0.005781421,0.008165079,0.001046523,0.017689394,0.004927876,0.000680055,0.001576803,0.009204853,0.007955987,0.012679327,0.004496925
,,,,,,,,,,,,,,,,
0,1,,,,,1,,,,,1,,,,,1
2,0.686042324,,,,,0.636056833,,,,,0.784285952,,,,,0.774271809
4,0.838113266,,,,,0.688358877,,,,,0.648487025,,,,,0.797219609
6,0.799499726,,,,,0.653933975,,,,,0.53226152,,,,,0.833451349
8,0.860969035,,,,,0.657087821,,,,,0.546973607,,,,,0.748845531
10,0.441764519,,,,,0.295558064,,,,,0.251266723,,,,,0.514708079
12,0.394897011,,,,,0.268745215,,,,,0.205247773,,,,,0.382140654
14,0.242961347,,,,,0.194260442,,,,,0.065184597,,,,,0.173852725
16,0.136326467,,,,,0.110696969,,,,,0.053477969,,,,,0.07611394
18,0.027538942,,,,,0.033979456,,,,,0.027127996,,,,,0.027558543
20,0.014600423,,,,,0.029306886,,,,,0.023284818,,,,,0.013045692
22,0.009286136,,,,,0.011722546,,,,,0.01706859,,,,,0.004979222
24,0.006127308,,,,,0.007780351,,,,,0.011866632,,,,,0.006097093
26,0.004669244,,,,,0.006953889,,,,,0.008279253,,,,,0.005738805
28,0.004445491,,,,,0.006480117,,,,,0.006527049,,,,,0.003898786
30,0.006788194,,,,,0.007522059,,,,,0.006419405,,,,,0.004496925
