Evolution,Assay,e0
dre,dra,8.918927536
dre,dra,10.90535825
dre,dra,9.478431372
dre,dra,10.8631422
dre,dra,9.574434964
ypde,dra,8.397498634
ypde,dra,9.36179894
ypde,dra,2.500945804
ypde,dra,10.55555555
ypde,dra,10.26863605
dre,ypda,4.39113282
dre,ypda,4.237341292
dre,ypda,4.551677489
dre,ypda,5.571225086
dre,ypda,4.080453021
ypde,ypda,3.630613464
ypde,ypda,4.031855568
ypde,ypda,3.702256335
ypde,ypda,3.244122141
ypde,ypda,3.941792269
