FSC-H,SSC-H,FITC-H,FSC-A,SSC-A,FITC-A,Width,Time
2682725,199638,183,3193976,97121,275,146,1362.731
4805409,1954982,588,1246486,279315,1235,32,1364.696
2438458,318897,37,268722,65052,108,12,1366.055
4035904,345415,125,472240,62470,53,13,1366.062
3007595,369363,33,396556,71209,76,14,1366.072
2178035,498717,-58,238874,108324,-24,12,1366.082
2401359,483504,-31,574196,215269,-47,29,1366.096
2014351,541490,-57,239744,125559,-39,13,1366.106
2204826,655219,-1,538850,322322,39,30,1366.137
4764144,695817,48,1230644,332914,112,29,1366.147
5769335,714698,31,1614622,399360,214,34,1366.157
5705997,734358,101,1430345,388088,198,32,1366.167
4344995,543411,-86,576988,143331,-57,15,4466.366
4828956,506240,107,633967,133173,55,15,4466.382
3545898,517015,57,528400,152379,72,17,4466.399
4778822,476047,-18,568468,110145,61,13,4466.413
4015874,443348,-27,445014,96109,-7,12,4466.423
4725926,425672,-104,685986,118925,-120,16,4466.436
3017520,392343,177,436092,115537,230,17,4466.466
4536919,377028,-40,644961,105427,-17,16,4466.476
1652951,448976,-74,200222,97126,-38,12,4466.493
2118372,490635,57,272679,119684,130,14,4466.519
3243176,238792,-56,367064,51107,5,12,4466.540
2525629,238495,-20,313090,55062,35,13,4466.550
2887228,277015,151,368649,64366,206,13,4466.560
1581267,338975,-79,167233,73812,-7,12,4466.573
4382894,362947,-64,526985,83589,-82,13,4466.581
2163878,204647,152,300736,50033,198,14,4466.699
4454759,1681129,421,562285,422410,555,15,4467.212
4152825,656608,100,496212,141475,198,13,4467.223
1582680,532077,34,198719,31950,31,14,4468.630
4896738,454841,133,1353896,43204,177,30,4468.974
874682,47701,327,4542119,-462632,5940,540,7499.236
3465119,361402,-214,387970,74978,-147,12,7500.164
3568639,541260,-191,388068,117186,-93,12,7500.177
4128537,374339,-119,539357,95088,-56,15,7500.191
2958577,219585,31,441724,63823,69,17,7501.035
2370967,115436,-190,288778,26289,-160,13,7501.127
2030542,96538,-94,273977,23319,-149,14,7501.250
1348015,79838,-40,210130,20360,51,15,7501.266
4194345,898348,26,768379,320816,15,23,9908.079
5344155,1567573,341,1407083,775772,690,31,9908.134
2193608,167786,-165,256819,38281,-101,13,9908.884
3522704,272621,-102,381252,58437,-16,12,9908.899
1013914,325156,-16,105083,69546,17,12,9908.905
3853243,321605,-129,489350,74789,-81,13,9908.912
2773272,309917,-78,773354,148873,-33,29,9908.918
