FSC-H,SSC-H,FITC-H,FSC-A,SSC-A,FITC-A,Width,Time
1511869,146589,66,4435340,276134,325,319,2389.673
1769500,322504,-274,198182,69848,-212,12,2391.059
1975858,260286,200,245022,64364,-189,14,2391.087
2485138,223879,-168,305203,52018,-109,13,2391.131
1929414,298965,-1,541067,-65544,143,29,2392.543
3485552,435529,-5,541842,128233,28,17,4669.023
3004574,515573,-51,406592,135534,-103,15,4669.074
3565779,511685,-140,452571,119005,-89,13,4669.084
2129809,448018,-102,237082,97700,-41,12,4669.097
2077674,374488,-61,235242,86976,-80,13,4669.135
2831027,398470,-160,436394,123183,-144,18,4669.148
2710473,354375,173,421571,114359,-74,19,4669.174
1916303,331011,-59,258941,82241,9,14,4669.234
3337038,352714,-134,442767,91715,-68,15,4669.244
1870442,104881,173,339681,-29900,-51,22,4669.399
2846007,288819,-174,374153,66816,-112,13,4670.007
3499804,353939,41,794083,174050,-99,30,4670.020
1966740,302956,-162,221038,65692,-159,12,4670.047
1858911,218005,110,219159,46623,-66,12,4670.094
1885384,196094,-52,255432,48051,-21,14,4670.107
1641984,176358,-76,199367,40468,-61,13,4670.138
1902504,146406,-33,292704,40040,-143,16,4670.191
3103453,254831,-114,494292,39856,-77,17,4670.468
774344,90709,2533,242841,26654,3393,55,7465.562
1194353,180169,4336,477560,65188,6928,66,7504.745
1677091,305263,6648,672204,100182,9458,65,7573.113
2259140,234325,6568,813919,75806,9585,64,7579.497
698900,58797,1979,209093,17236,2680,52,7580.519
1841495,427136,4942,606281,131810,6779,61,7588.264
723947,82637,2496,223719,24298,3282,55,7590.080
1243949,197985,3468,450725,62042,4742,61,7590.664
1792455,242406,5956,646024,74274,8148,63,7592.227
1151755,152131,3484,387250,45609,4723,59,7624.569
2831818,262669,-99,1444826,38132,-442,50,9911.257
2684189,414376,-113,327746,102958,-44,14,9911.846
2320011,412486,166,341986,121563,-68,17,9911.852
2955773,431280,52,360647,100744,123,13,9911.872
3237033,488993,0,429007,127902,85,15,9911.908
3355009,439741,31,415526,102610,93,13,9911.949
3329421,330320,-34,452750,86427,-21,15,9911.969
3309156,316241,-81,439930,78359,-34,14,9911.979
2122951,351717,145,267078,81744,175,13,9911.992
2090102,314190,-117,276153,73024,-32,13,9912.006
2709448,862923,-145,293391,185707,-78,12,9912.284
1949253,747405,-40,470919,333973,24,29,9912.290
2315886,183410,-105,263712,39213,-103,12,9913.019
2424066,201224,13,323477,49341,13,14,9913.058
2141997,201583,43,265070,46455,88,13,9913.071
2818374,214168,146,462843,69522,291,19,9913.084
2108048,353404,130,222763,73257,199,12,12584.351
772120,80251,2559,435112,41287,5029,85,14380.331
852837,58270,-6,115582,14139,-59,14,17108.102
2134604,130408,59,283166,33772,78,15,17108.137
1965795,111897,-122,237067,26910,-93,14,17108.150
1517166,199477,4464,584684,75887,7505,74,18929.609
1006758,268298,5583,492084,103077,9781,71,18956.717
1019118,164440,4005,478650,63180,8023,71,18957.854
1399026,198663,6080,562876,73240,9593,66,18959.111
2008334,267682,7418,717853,86078,11489,64,18962.391
2354551,370124,9921,945860,133597,15619,68,18976.781
981537,171644,4161,365300,55957,6606,62,19196.994
1479411,162841,4616,512907,53091,6251,61,19212.039
1753009,346562,8927,606928,106905,12978,60,19212.391
1443257,160541,4672,458690,47613,6488,59,19218.236
1645536,180591,4545,567598,58747,6330,61,19218.803
1864760,263282,5510,577624,78034,7593,59,19223.586
1406769,232709,6508,549447,77939,9552,66,19228.516
1241117,147516,3597,385487,43177,5184,57,19236.020
1310594,184545,3688,423224,55277,5093,59,19290.604
1128466,230236,4560,422500,74329,6933,63,19297.129
1497404,207113,5714,506631,61890,7830,61,19306.568
1752258,202009,5960,573332,60568,8172,61,19312.719
1917261,277975,5479,716687,99903,8262,64,19313.143
1433794,169004,4105,476839,53068,5529,60,19316.098
1237380,171675,3587,404852,51376,4794,59,19321.146
1178085,114296,3442,362763,33154,4859,57,19322.176
1263885,215772,3655,433999,67740,5202,61,19328.635
2442529,286315,9727,905310,99327,14914,67,19333.141
2390416,461578,12667,935727,164880,19826,67,19333.709
1090085,150961,5110,452038,57409,8222,66,19376.949
1392256,258420,6951,579092,87875,11045,66,19408.918
1604433,154230,5675,583910,55033,8608,64,19415.891
2086479,397271,7944,746967,130047,12566,64,19417.133
1207291,163078,3432,379325,47875,5244,54,19417.350
1576111,144147,3942,510851,43171,5056,59,19417.877
1289077,229752,4734,435430,70812,6903,60,19418.695
1106155,143226,3707,353106,42630,5523,57,19419.088
821689,86307,2009,249947,25558,2409,54,19420.172
1384331,155961,4580,486083,50816,7095,62,19430.148
1127040,310549,9004,535512,117848,15012,71,19433.590
1412115,206035,5119,532210,69412,7530,63,19795.039
851265,72491,2600,259135,21214,3987,55,19800.152
773822,74825,2916,250827,22664,3873,57,20789.871
1666227,247964,261,6629161,863733,2888,449,21578.785
1247885,172154,35,153165,32623,42,12,21579.768
1353090,193329,3018,443258,58604,4390,58,23242.738
1507503,243995,6666,596000,81323,10190,66,23245.664
1373631,203366,4029,429711,59895,5313,58,23246.789
1376206,129208,3778,444367,39042,5253,60,23258.199
1333122,211469,5302,546970,76520,8808,67,23298.461
1203527,172147,3181,396228,52579,4598,60,23303.211
1283616,419916,16458,601051,148830,23760,70,23482.602
708415,68245,1693,221534,20610,2566,55,24706.137
1106023,85937,-44,161064,23909,-19,17,25255.535
1722446,234313,20,432234,85718,159,28,25255.551
3529475,406551,-75,869371,192760,-72,30,25255.563
2559881,633137,-179,350525,157468,-103,14,25255.570
1080698,229625,6075,462588,79538,8949,63,25316.297
1111444,269681,6933,654871,134307,15328,78,25373.057
1761320,217696,5194,589531,69490,7165,61,25697.730
1153101,148947,2788,353461,43377,3755,56,25708.418
890916,88261,2535,271869,25818,3465,55,25915.609
1275621,152818,5263,432817,45518,7225,60,26046.645
1192953,190786,3774,395849,57575,4946,59,26222.371
1228401,160821,4896,448144,53882,7793,62,26292.236
1198055,91305,6177,564833,15281,10832,66,26697.457
2092375,245815,12998,801266,55752,19143,60,26697.711
988174,124425,5024,372863,21445,7823,54,26697.967
1215958,82669,4923,441131,11725,7634,54,26698.045
1482104,142188,5412,509504,26641,9117,60,26698.438
939797,58096,4202,345916,7616,6714,56,26698.465
1093180,128519,6473,522194,33245,10232,69,26698.885
2139768,228508,9562,1425918,78658,26327,129,26699.131
710595,71692,2879,302940,12807,3964,51,26699.223
1772730,181093,9189,699504,41974,14108,58,26699.266
1351986,84795,3969,456420,16529,6431,48,26699.340
1121430,109762,7013,547524,32539,12484,58,26699.354
1267501,130516,3288,408973,26763,4054,54,26699.691
1155787,201801,4481,556205,58086,7014,60,26699.865
1454339,180551,6257,753706,65071,11035,68,26700.096
1109970,113370,4142,414741,27061,5378,52,26700.113
704964,127946,4309,334683,38025,7642,62,26700.426
1310739,83822,3488,390475,17146,4830,50,26700.496
967272,114827,2883,310769,27976,3947,53,26700.713
734719,57751,1765,221379,12426,3236,48,26700.803
1301916,169024,2939,424049,46395,4096,54,26700.816
901646,77777,2901,362373,23330,4867,61,26701.012
2484442,260563,7932,1264014,115439,14190,77,26701.090
1282365,167491,2949,399840,50494,3621,53,26701.371
1602265,223672,7481,590584,73537,10454,60,26701.484
2028966,608367,10696,791428,204297,16006,71,26704.338
1223988,130748,2756,384346,42773,3824,61,26705.607
1403983,211313,5732,579074,79158,9533,69,26707.283
1535113,188424,6271,480761,61319,8469,60,26707.795
1968471,367733,8930,725197,122509,13244,67,26709.223
1427952,349410,7241,576452,119683,11473,61,26709.268
1232647,193827,5709,457089,65961,8627,65,26709.926
1336826,178447,4216,439964,56711,5822,62,26710.869
1225372,180440,3957,404078,57334,6118,60,26713.865
1474444,91163,3237,458573,27607,4544,59,26716.600
1115309,189795,4537,484062,70324,7365,64,26716.891
1186614,154561,2617,360221,45473,3666,55,26717.412
1201300,216190,5076,503193,78792,8114,66,26720.191
1543464,256042,6145,657134,95509,9678,65,26720.361
1108834,136132,2995,341390,39627,4430,57,26764.035
1321220,151016,3953,418138,44541,6229,59,26764.926
1427670,117488,3585,436829,33938,4937,58,26766.898
1972337,367118,9024,1128861,185130,17604,80,26767.684
1204434,169874,3911,365611,48122,5021,48,26767.758
1480538,167071,6474,457682,48827,8644,54,26768.107
1351539,259819,4808,501808,84788,7663,62,26768.670
1319658,176343,4662,431928,52462,6493,59,26769.230
1077284,136238,3777,339230,39827,4988,55,26769.590
2836778,401284,11517,1030401,133485,17107,65,26770.723
2121942,365934,9221,738645,120104,13515,60,26771.004
1580952,192783,4363,566863,62993,6726,62,26771.816
1338805,126164,2925,414172,36315,3846,52,26771.877
