FSC-H,SSC-H,FITC-H,FSC-A,SSC-A,FITC-A,Width,Time
2272222,446958,107,253738,94491,177,12,2353.130
1798485,564248,24,449542,259510,181,29,2353.136
4168337,696595,176,1065814,327142,123,29,2353.146
4953368,769478,160,1232877,415999,286,33,2353.156
2263888,718377,102,281865,166259,186,13,2353.166
4231079,593257,196,566583,154526,246,15,2353.173
3664842,470918,6,436137,105886,32,13,2353.180
1623411,340820,-2,246853,95761,60,17,2353.185
1723909,110878,207,232452,9571,213,13,2353.313
1307130,123976,82,2992708,-238123,-628,294,4981.107
4250462,908974,246,1163267,437410,-179,29,4982.121
3804246,754450,250,601314,240547,429,20,4982.426
3660494,920869,187,555260,278911,275,18,4982.432
4335248,1201975,52,618938,333346,-49,17,7486.474
4215019,630089,-61,558135,146838,-16,16,7486.865
3717189,1241922,-93,540101,318986,-101,17,7486.878
1766777,105435,99,280785,26871,165,15,7486.933
1941425,126853,-103,251533,30843,-97,14,7487.222
1315368,278903,355,7252628,611009,6421,620,9898.851
4399822,805003,292,503152,172337,206,12,9899.214
4817607,770302,200,752987,233802,352,18,9899.219
1310078,185363,124,158258,42418,168,13,9899.464
1021647,60973,54,121712,13276,78,13,9899.784
3698768,617654,303,1003518,325786,815,34,9899.881
2480558,561426,480,321047,129159,549,13,9899.912
2340080,174305,-1,386688,53227,94,18,9900.739
1417357,194040,3788,536624,72880,5987,71,9935.835
1209379,208386,3954,459398,70648,6101,65,9944.777
900050,74872,1848,281745,23935,2766,55,9945.101
1111501,177371,2847,376471,56788,3885,62,9948.021
1049040,90590,1349,335819,29133,2089,56,9948.275
1404015,144919,2832,484719,47518,4627,63,9953.183
589670,68441,1188,172818,19685,1588,51,9981.476
547824,65746,973,168942,19879,1411,52,10015.228
1164817,143053,2127,372220,43335,3091,58,10042.783
1330332,266797,4775,711829,116066,9072,73,11791.955
1540090,183251,3424,567006,64070,4881,63,11941.096
946262,206280,4091,388509,73916,6463,66,12770.582
1138373,123267,2375,357831,36996,3065,57,13481.477
1042073,111427,1853,321575,32694,2563,54,13481.786
1043402,84155,1589,316544,24747,2317,55,13482.970
874427,105045,1548,271731,36071,2603,62,14197.398
1088148,132874,2279,339791,43743,3973,61,14198.195
962528,139054,2120,287414,42506,2567,57,14203.330
1147159,153836,2137,360856,47610,2835,57,14203.681
1502701,248585,4404,739139,110952,8058,74,14205.708
1163547,195769,3311,472283,68860,4977,66,14215.220
1150452,131808,2190,354077,38659,3370,57,14227.714
1095671,152128,2473,376666,48995,3499,60,14233.059
1861238,287741,7553,693008,95638,11132,65,14348.145
1344316,143558,3356,441467,45245,4495,59,14364.980
2426345,395058,10485,1316089,216059,21312,78,14365.398
2169540,496811,8146,1136480,232346,18268,83,14369.869
1143822,126470,2146,351334,36802,2979,56,14421.441
1755737,233529,4300,591105,73615,6721,61,14423.867
1210981,231990,3093,473373,79840,4528,62,14424.394
2042756,335094,9514,775708,112064,13372,64,14426.457
1995594,238453,5569,642207,71024,7781,60,14429.830
664788,113237,1363,194971,32549,1596,49,14430.177
1441581,191925,3295,467333,59316,4529,58,14430.870
2450761,337189,6670,805694,105592,9006,63,14432.807
1330739,144912,3114,408796,42639,4549,53,14432.974
1388558,186129,2428,427930,54060,3739,54,14433.400
