FSC-H,SSC-H,FITC-H,FSC-A,SSC-A,FITC-A,Width,Time
1.565967E+07,1.678229E+07,1476,2.725598E+08,3.044212E+08,152478,6169,301.168
1.143275E+07,35860,-54,1927380,11110,-20,22,306.639
8131605,1.242334E+07,1186,5366712,2593724,716,79,307.579
9982846,6862454,1565,2587667,1245452,821,33,307.586
1.114705E+07,1.201879E+07,274,2939671,4119183,522,34,307.590
7782031,1.054891E+07,1461,1037750,2629776,1515,14,307.655
1.562249E+07,1.67701E+07,1710,2.732155E+08,3.010356E+08,159013,5981,2601.981
403000,12864,21,231418,-43700,-79,60,2606.549
1.233117E+07,705583,35,5.619733E+07,-3962939,-1345,525,2606.606
1.095363E+07,526175,353,6.518348E+07,-1.071492E+07,2622,745,2606.686
8632011,71505,199,1215071,13003,320,18,2606.802
6878695,398797,-89,1229313,134975,-83,24,2606.809
9098026,649870,206,1348674,177857,361,19,2606.821
7891753,728361,327,1411336,252844,528,22,2606.828
9562476,197478,195,1971889,82528,392,26,2607.059
1.05946E+07,168107,205,1856616,58255,321,21,2607.069
7705982,181203,260,1821094,81787,473,28,2607.076
3376343,207720,227,465147,57628,339,16,2607.088
3653892,203815,263,413941,43733,259,12,2607.121
3737694,220326,328,479810,54443,430,14,2607.131
4613395,191098,161,552783,47130,249,14,2607.142
3439978,178244,238,697257,78290,375,27,2607.158
3164251,138555,217,355117,29219,295,12,2607.171
4170488,93901,208,472097,19862,131,12,2607.186
4126918,113011,169,625199,34361,209,18,2607.195
3697295,124392,75,426443,26714,141,12,2607.206
4249677,109944,156,507383,24400,200,13,2607.213
4040896,132192,274,606668,39205,414,18,2607.222
3872316,180241,-3,446608,38184,45,12,2607.233
4604597,194682,468,614596,53892,551,16,2607.239
4252363,182310,168,503333,41917,199,13,2607.250
1888393,158624,158,252119,36680,218,13,2607.262
4302877,165497,225,993223,75654,493,28,2607.272
3910043,138247,403,866122,66910,779,30,2607.292
4261643,123451,170,529160,30177,236,14,2607.302
1066940,52375,162,144058,13310,205,15,2607.335
3212668,36681,329,445731,9225,320,15,2607.345
3991823,60582,147,958541,24481,433,29,2607.355
4261135,51574,171,561815,12870,77,15,2607.365
2462074,37812,159,279365,7754,183,13,2607.375
3188568,57996,114,818788,24958,286,28,2607.381
2707747,32088,81,357668,7060,162,14,2607.401
3081730,23377,225,797644,9324,536,28,2607.428
4536511,19415,339,636598,3520,390,16,2607.438
2449709,14573,446,297414,2051,527,13,2607.448
5491244,24063,355,1458057,10688,785,34,2607.465
4917853,21293,315,1271671,6742,636,32,2607.475
3764315,18874,346,954454,5178,860,31,2607.494
3742631,27329,-94,455304,5090,-28,13,2607.780
1375806,65618,23,197520,15381,71,14,2607.785
715765,131182,-85,91435,29752,-62,13,2607.802
4060076,123171,-34,473833,28142,40,13,2607.809
1573128,115493,-6,198684,27361,-41,14,2607.815
1442164,233651,41,232401,108155,65,32,2607.835
4039477,335753,-78,477508,67000,-19,13,2607.883
1922912,168039,-31,341456,40461,-151,29,2607.896
1.118667E+07,470733,-289,1379866,116100,-264,14,2608.313
1.224137E+07,470241,-242,2275223,180154,-355,23,2608.319
1.131151E+07,475502,-371,2246194,181519,-495,23,2608.325
5444871,483139,-181,780519,142740,-287,17,2608.341
4929959,484038,-265,515884,104700,-205,12,2608.348
5526520,453148,-252,668200,112654,-313,14,2608.354
4945125,403785,-292,1139161,193621,-466,29,2608.390
5971003,376928,-53,610910,81871,-52,12,2608.399
2759927,342738,-67,312974,74175,-63,12,2608.407
1838185,316445,-130,276607,83413,-118,15,2608.413
4908346,323239,-162,744913,94848,-190,17,2608.420
4982760,336814,-174,1137622,166618,-344,30,2608.433
1480404,367421,168,219879,96668,-144,15,2608.456
4626395,357154,-179,618576,105285,-206,17,2608.463
2710487,384148,168,348484,95169,-251,14,2608.480
4115090,373385,168,630900,121449,-392,19,2608.503
5455368,346401,168,1281051,175338,-366,31,2608.513
4875750,314471,168,611486,77198,-102,14,2608.547
2056977,265592,-181,243772,61464,-154,13,2608.560
5210133,259701,168,738286,75510,-370,17,2608.584
