T,5w1.1,5w1.2,5w2.1,5w2.2,5w3.1,5w3.2,5w4.1,5w4.2,5w5.1,5w5.2,2w1.1,2w1.2,2w2.1,2w2.2,2w3.1,2w3.2,2w4.1,2w4.2,2w5.1,2w5.2,Rw1.1,Rw1.2,Rw2.1,Rw2.2,Rw3.1,Rw3.2,Rw4.1,Rw4.2,Rw5.1,Rw5.2,LY1.1,LY1.2,LY1.3,LY1.4,LY1.5,LY1.6
0,69,69,86,84,204,168,161,151,85,71,122,120,135,175,57,56,99,120,116,101,74,108,107,117,82,99,97,104,91,80,121,135,149,91,93,159
2,59,44,73,62,90,68,136,102,52,57,93,120,86,93,19,35,62,75,60,71,54,64,68,78,73,99,71,62,91,80,86,98,101,90,82,105
4,54,69,86,68,81,168,124,112,76,70,122,93,135,126,8,18,79,89,92,60,55,79,37,38,49,93,97,87,39,43,103,107,81,91,87,105
6,69,57,67,84,80,140,161,95,85,38,71,103,134,93,0,1,98,70,116,101,47,53,8,14,67,67,91,97,33,22,95,125,149,59,69,143
8,64,42,53,78,204,96,156,151,84,71,98,73,79,175,16,5,99,120,72,96,74,108,0,0,57,72,94,104,28,38,97,135,82,51,54,159
10,22,23,31,48,90,66,138,109,13,19,33,18,58,44,104,39,46,57,43,53,38,19,0,8,20,39,53,63,8,19,57,71,68,26,43,141
12,6,17,25,54,181,64,63,54,23,28,21,8,53,74,141,57,48,43,43,42,28,16,24,4,29,43,34,39,1,7,56,71,74,6,21,82
14,50,62,12,46,77,57,13,53,76,243,12,9,27,46,390,57,50,29,33,27,9,5,428,110,12,11,11,11,9,11,20,42,25,2,14,36
16,30,26,7,30,63,15,11,39,28,61,42,52,16,28,771,84,12,22,19,27,33,54,434,193,14,12,6,7,116,5,12,18,11,11,35,16
18,0,4,8,6,10,7,41,3,9,30,24,5,2,1,447,76,4,8,7,12,17,30,241,673,57,56,28,35,2133,39,43,2,35,3,6,13
20,0,1,0,41,9,27,18,24,29,36,10,10,14,18,18,136,24,56,45,142,11,21,21,883,51,23,33,42,236,261,22,10,26,21,16,25
22,33,8,17,22,45,15,13,12,22,65,74,108,158,89,40,138,7,50,17,19,43,6,153,456,38,19,20,22,283,1247,6,5,9,28,54,10
24,419,205,172,14,7,14,147,60,32,35,83,71,170,102,145,151,47,36,2,5,17,26,156,149,36,8,10,18,228,526,74,128,112,429,51,52
26,309,215,175,33,9,100,150,48,61,22,60,56,157,97,71,106,67,30,19,63,6,11,106,58,20,9,94,120,214,10,93,137,127,26,38,18
28,442,291,183,18,53,88,140,27,74,18,64,40,152,89,67,69,78,25,12,78,53,75,155,80,12,44,85,98,201,19,55,107,99,7,18,25
30,427,388,450,168,72,102,295,58,128,143,76,64,168,68,45,73,111,29,190,83,52,71,203,147,117,41,76,84,217,121,42,99,131,107,34,406
34,23,29,41,70,16,14,210,376,50,287,52,62,109,33,6,55,85,131,91,239,306,63,350,180,67,21,43,52,112,135,24,57,52,105,28,51
36,39,49,32,22,67,72,133,232,45,458,72,52,73,36,436,858,54,93,338,84,244,241,179,213,45,26,40,26,60,333,44,12,18,74,274,341
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,114.8,,,,,,,,,,110.1,,,,,,,,,,,,,,,,,,,,,,,,,
,69,,85,,186,,156,,78,,121,,155,,56.5,,109.5,,108.5,,,,,,,,,,,,,,,,,
,0.872608091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
