T,5w1.1,5w1.2,5w2.1,5w2.2,5w3.1,5w3.2,5w4.1,5w4.2,5w5.1,5w5.2,2w1.1,2w1.2,2w2.1,2w2.2,2w3.1,2w3.2,2w4.1,2w4.2,2w5.1,2w5.2,Rw1.1,Rw1.2,Rw2.1,Rw2.2,Rw3.1,Rw3.2,Rw4.1,Rw4.2,Rw5.1,Rw5.2,LY1.1,LY1.2,LY1.3,LY1.4,LY1.5,LY1.6
0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,1.0727272727272728,0.6875,0.8588235294117647,0.9538461538461539,0.8108108108108109,1.3076923076923077,1.2592592592592593,1.096774193548387,1.4444444444444444,0.8260869565217391,1.1625,1.5789473684210527,0.7288135593220338,1.2916666666666667,0.3333333333333333,0.625,0.9253731343283582,1.0869565217391304,0.8695652173913043,1.2241379310344827,1.0384615384615385,1.28,0.6355140186915887,0.6666666666666666,0.8902439024390244,1.434782608695652,1.126984126984127,1.0,1.2297297297297298,1.0256410256410255,0.7107438016528925,1.0769230769230769,1.7719298245614035,1.1688311688311688,0.8817204301075269,1.3291139240506329
4,0.9818181818181818,1.078125,1.011764705882353,1.0461538461538462,0.7297297297297297,3.230769230769231,1.1481481481481481,1.2043010752688172,2.111111111111111,1.0144927536231885,1.525,1.2236842105263157,1.1440677966101696,1.75,0.14035087719298245,0.32142857142857145,1.1791044776119404,1.289855072463768,1.3333333333333333,1.0344827586206897,1.0576923076923077,1.58,0.34579439252336447,0.3247863247863248,0.5975609756097561,1.3478260869565217,1.5396825396825398,1.403225806451613,0.527027027027027,0.5512820512820513,0.8512396694214877,1.1758241758241759,1.4210526315789473,1.1818181818181819,0.9354838709677419,1.3291139240506329
6,1.2545454545454546,0.890625,0.788235294117647,1.2923076923076924,0.7207207207207207,2.6923076923076925,1.4907407407407407,1.021505376344086,2.361111111111111,0.5507246376811594,0.8875,1.355263157894737,1.1355932203389831,1.2916666666666667,0.0,0.0017857142857142854,1.462686567164179,1.0144927536231885,1.681159420289855,1.7413793103448276,0.9038461538461539,1.06,0.07476635514018691,0.11965811965811966,0.8170731707317073,0.9710144927536232,1.4444444444444444,1.564516129032258,0.44594594594594594,0.28205128205128205,0.7851239669421488,1.3736263736263736,2.6140350877192984,0.7662337662337663,0.7419354838709677,1.8101265822784811
8,1.1636363636363636,0.65625,0.6235294117647059,1.2,1.837837837837838,1.8461538461538463,1.4444444444444444,1.6236559139784945,2.3333333333333335,1.0289855072463767,1.225,0.9605263157894737,0.6694915254237288,2.4305555555555554,0.002807017543859649,8.928571428571429e-05,1.4776119402985075,1.7391304347826086,1.0434782608695652,1.6551724137931034,1.4230769230769231,2.16,0.0,0.0,0.6951219512195121,1.0434782608695652,1.492063492063492,1.6774193548387097,0.03783783783783784,0.04871794871794871,0.8016528925619835,1.4835164835164836,1.4385964912280702,0.6623376623376623,0.5806451612903226,2.0126582278481013
10,0.4,0.359375,0.36470588235294116,0.7384615384615385,0.8108108108108109,1.2692307692307692,1.2777777777777777,1.1720430107526882,0.3611111111111111,0.2753623188405797,0.4125,0.23684210526315788,0.4915254237288136,0.6111111111111112,0.018245614035087718,0.0006964285714285715,0.6865671641791045,0.8260869565217391,0.6231884057971014,0.9137931034482759,0.7307692307692307,0.38,0.0,0.0006837606837606838,0.24390243902439024,0.5652173913043478,0.8412698412698413,1.0161290322580645,0.01081081081081081,0.024358974358974356,0.47107438016528924,0.7802197802197802,1.1929824561403508,0.33766233766233766,0.46236559139784944,1.7848101265822784
12,0.10909090909090909,0.265625,0.29411764705882354,0.8307692307692308,1.6306306306306306,1.2307692307692308,0.5833333333333334,0.5806451612903226,0.6388888888888888,0.4057971014492754,0.2625,0.10526315789473684,0.4491525423728814,1.0277777777777777,0.002473684210526316,0.0010178571428571428,0.7164179104477612,0.6231884057971014,0.6231884057971014,0.7241379310344828,0.5384615384615384,0.32,0.0022429906542056075,0.0003418803418803419,0.35365853658536583,0.6231884057971014,0.5396825396825397,0.6290322580645161,0.0013513513513513512,0.008974358974358974,0.4628099173553719,0.7802197802197802,1.2982456140350878,0.07792207792207792,0.22580645161290322,1.0379746835443038
14,0.09090909090909091,0.09687499999999999,0.1411764705882353,0.7076923076923077,0.6936936936936937,1.0961538461538463,0.12037037037037036,0.5698924731182796,0.21111111111111108,0.3521739130434782,0.15,0.11842105263157894,0.2288135593220339,0.6388888888888888,0.006842105263157895,0.0010178571428571428,0.746268656716418,0.42028985507246375,0.4782608695652174,0.46551724137931033,0.17307692307692307,0.1,0.004,0.0009401709401709402,0.14634146341463414,0.15942028985507245,0.1746031746031746,0.1774193548387097,0.0012162162162162162,0.0014102564102564104,0.1652892561983471,0.46153846153846156,0.43859649122807015,0.025974025974025976,0.15053763440860216,0.45569620253164556
16,0.054545454545454536,0.040625,0.08235294117647059,0.46153846153846156,0.5675675675675675,0.28846153846153844,0.10185185185185185,0.41935483870967744,0.07777777777777778,0.08840579710144926,0.0525,0.06842105263157895,0.13559322033898305,0.3888888888888889,0.013526315789473685,0.0015,0.1791044776119403,0.3188405797101449,0.2753623188405797,0.46551724137931033,0.06346153846153846,0.108,0.004056074766355141,0.0016495726495726495,0.17073170731707318,0.17391304347826086,0.09523809523809523,0.11290322580645161,0.015675675675675675,0.000641025641025641,0.09917355371900827,0.1978021978021978,0.19298245614035087,0.014285714285714285,0.03763440860215053,0.20253164556962025
18,0.0,0.0062499999999999995,0.009411764705882352,0.09230769230769231,0.09009009009009009,0.1346153846153846,0.037962962962962955,0.03225806451612903,0.024999999999999998,0.04347826086956521,0.03,0.006578947368421052,0.01694915254237288,0.013888888888888888,0.007842105263157895,0.0013571428571428571,0.05970149253731343,0.11594202898550725,0.10144927536231885,0.20689655172413793,0.03269230769230769,0.05999999999999999,0.002252336448598131,0.005752136752136752,0.06951219512195121,0.08115942028985507,0.044444444444444446,0.0564516129032258,0.028824324324324323,0.0005,0.03553719008264463,0.02197802197802198,0.061403508771929814,0.003896103896103896,0.0064516129032258064,0.16455696202531644
20,0.0,0.0015624999999999999,0.0,0.06307692307692307,0.08108108108108109,0.051923076923076926,0.016666666666666663,0.025806451612903226,0.008055555555555555,0.0052173913043478265,0.012499999999999999,0.013157894736842105,0.011864406779661017,0.024999999999999998,0.003157894736842105,0.0024285714285714284,0.03582089552238806,0.08115942028985507,0.06521739130434782,0.2448275862068965,0.021153846153846155,0.042,0.0019626168224299067,0.007547008547008547,0.06219512195121951,0.03333333333333333,0.052380952380952375,0.06774193548387097,0.03189189189189189,0.0033461538461538464,0.01818181818181818,0.010989010989010988,0.0456140350877193,0.0027272727272727275,0.017204301075268814,0.03164556962025317
22,0.006,0.00125,0.002,0.033846153846153845,0.04054054054054054,0.02884615384615384,0.012037037037037037,0.012903225806451613,0.006111111111111111,0.009420289855072464,0.00925,0.014210526315789474,0.013389830508474577,0.012361111111111111,0.0007017543859649122,0.0024642857142857144,0.010447761194029851,0.07246376811594203,0.024637681159420288,0.03275862068965517,0.00826923076923077,0.012,0.0014299065420560748,0.0038974358974358976,0.04634146341463414,0.027536231884057967,0.031746031746031744,0.035483870967741936,0.03824324324324324,0.01598717948717949,0.0049586776859504135,0.005494505494505494,0.015789473684210523,0.0036363636363636364,0.005806451612903226,0.012658227848101264
24,0.007618181818181818,0.003203125,0.0020235294117647057,0.021538461538461538,0.006306306306306306,0.026923076923076925,0.01361111111111111,0.0064516129032258064,0.008888888888888889,0.005072463768115942,0.010375,0.009342105263157895,0.01440677966101695,0.014166666666666666,0.002543859649122807,0.0026964285714285714,0.007014925373134328,0.05217391304347825,0.0028985507246376808,0.008620689655172412,0.003269230769230769,0.0052,0.0014579439252336449,0.0012735042735042734,0.04390243902439024,0.011594202898550723,0.015873015873015872,0.029032258064516127,0.030810810810810812,0.006743589743589744,0.006115702479338843,0.014065934065934066,0.019649122807017545,0.005571428571428572,0.005483870967741935,0.006582278481012658
26,0.005618181818181818,0.003359375,0.002058823529411765,0.005076923076923077,0.008108108108108107,0.019230769230769232,0.013888888888888888,0.005161290322580645,0.016944444444444446,0.003188405797101449,0.0075,0.007368421052631579,0.013305084745762712,0.013472222222222222,0.0012456140350877193,0.001892857142857143,0.01,0.04347826086956521,0.0027536231884057972,0.010862068965517242,0.001153846153846154,0.0022,0.0009906542056074767,0.0004957264957264957,0.024390243902439022,0.013043478260869563,0.014920634920634921,0.01935483870967742,0.02891891891891892,0.001282051282051282,0.00768595041322314,0.015054945054945056,0.022280701754385963,0.0033766233766233766,0.0040860215053763445,0.002278481012658228
28,0.008036363636363637,0.004546875,0.0021529411764705884,0.002769230769230769,0.004774774774774775,0.016923076923076923,0.012962962962962963,0.002903225806451613,0.020555555555555556,0.0026086956521739132,0.008,0.005263157894736842,0.01288135593220339,0.012361111111111111,0.0011754385964912282,0.0012321428571428572,0.011641791044776119,0.036231884057971016,0.0017391304347826088,0.013448275862068966,0.0010192307692307692,0.0015,0.0014485981308411215,0.0006837606837606838,0.014634146341463415,0.006376811594202898,0.013492063492063493,0.015806451612903227,0.027162162162162162,0.002435897435897436,0.004545454545454545,0.011758241758241758,0.017368421052631578,0.0009090909090909091,0.001935483870967742,0.0031645569620253164
30,0.007763636363636364,0.0060625,0.005294117647058823,0.0025846153846153844,0.006486486486486486,0.019615384615384614,0.027314814814814816,0.006236559139784947,0.035555555555555556,0.002072463768115942,0.0095,0.008421052631578947,0.01423728813559322,0.009444444444444445,0.0007894736842105263,0.0013035714285714287,0.016567164179104477,0.04202898550724637,0.0027536231884057972,0.014310344827586207,0.001,0.00142,0.001897196261682243,0.0012564102564102564,0.01426829268292683,0.005942028985507246,0.012063492063492064,0.013548387096774193,0.029324324324324323,0.0015512820512820513,0.003471074380165289,0.01087912087912088,0.02298245614035088,0.0013896103896103896,0.0036559139784946237,0.005139240506329114
