Evolution,Assay,A,umax,Lhr,e0,W,History,trts,,,,,
dre,dra,2.4554,0.3045,1.6443075,8.918927536,1.36677985,selected,DEDA,,-0.826656233,,,
dre,dra,2.638825,0.2415,0,10.90535825,1.302590201,selected,DEDA,,1.159774481,,,
dre,dra,2.30865,0.3015,0.60776125,9.478431372,1.128215551,selected,DEDA,,-0.267152397,,,
dre,dra,2.352725,0.2655,0.760589583,10.8631422,1.261939195,selected,DEDA,,1.117558431,,,
dre,dra,2.0805,0.2805,0.539849167,9.574434964,1.557004569,selected,DEDA,,-0.171148805,,,
ypde,dra,1.814775,0.312,0.936360556,8.397498634,1.184216039,alternate,YEDA,,-1.348085135,,,9.745583769
ypde,dra,1.804725,0.285,1.467494167,9.36179894,1.097379796,alternate,YEDA,,-0.383784829,,,
ypde,dra,1.5992,0.2805,2.121262917,2.500945804,1.070163256,alternate,YEDA,,-7.244637965,,,
ypde,dra,1.97355,0.297,1.512818333,10.55555555,1.163135371,alternate,YEDA,,0.809971781,,,
ypde,dra,2.426575,0.225,1.830144167,10.26863605,1.18613838,alternate,YEDA,,0.523052281,,,
dre,ypda,2.46245,0.282,0.004914167,4.39113282,1.436864233,alternate,DEYA,,-1.882459181,,,6.273592001
dre,ypda,2.638925,0.2835,0.129622083,4.237341292,1.379644094,alternate,DEYA,,-2.036250709,,,
dre,ypda,2.5674,0.3465,0.188984167,4.551677489,1.397950724,alternate,DEYA,,-1.721914512,,,
dre,ypda,2.40675,0.348,0.254355417,5.571225086,1.346756053,alternate,DEYA,,-0.702366915,,,
dre,ypda,2.185225,0.2685,0.649691667,4.080453021,1.523229248,alternate,DEYA,,-2.19313898,,,
ypde,ypda,2.037225,0.291,1.3440475,3.630613464,1.732411724,selected,YEYA,,-2.642978537,,,
ypde,ypda,2.06935,0.276,1.553157917,4.031855568,1.507395763,selected,YEYA,,-2.241736433,,,
ypde,ypda,2.1133,0.249,1.182638333,3.702256335,1.491482138,selected,YEYA,,-2.571335666,,,
ypde,ypda,2.227875,0.2595,1.117629167,3.244122141,1.537137116,selected,YEYA,,-3.02946986,,,
ypde,ypda,2.36515,0.2505,0.26985875,3.941792269,1.590974924,selected,YEYA,,-2.331799732,,,
