Curve,b0,A,umax,L,z,umax.lw,umax.up,umax.lw.FI,umax.up.FI,,,,,
A1,0.1702,2.25,0.0038,63.1412,-2.9439,0.0036,0.0039,0.0036,0.0039,,,,,
A2,0.2351,2.2331,0.0041,101.184,-3.6263,0.004,0.0042,0.004,0.0042,,,,,
A3,0.2686,2.133,0.0043,142.0967,-4.0482,0.0043,0.0044,0.0043,0.0044,,,,,
A5,0.236,2.0617,0.0039,62.1945,-3.6732,0.0038,0.0039,0.0038,0.0039,,,,W,0.004346667
A6,0.2681,2.011,0.0041,74.8958,-3.8164,0.004,0.0041,0.004,0.0041,,,,s,0.004293333
A7,-0.0779,2.4166,0.004,0,-3.2728,0.0038,0.0041,0.0038,0.0041,,-58.7886,,,
B1,0.3935,1.7367,0.0048,85.0978,-2.7073,0.0044,0.0051,0.0045,0.005,,,,#VALUE!,
B2,0.3395,1.7248,0.0049,106.6088,-3.2548,0.0047,0.0051,0.0048,0.005,,,,0.691761301,
B3,0.2831,1.8479,0.0046,131.0897,-3.9195,0.0046,0.0047,0.0046,0.0047,,,,,
B5,0.2714,1.8562,0.0045,75.8638,-4.2974,0.0044,0.0045,0.0044,0.0045,,,,,
B6,0.3114,1.7684,0.0045,113.554,-4.0058,0.0044,0.0045,0.0044,0.0045,,,,,
B7,0.2816,1.8494,0.0039,83.5631,-2.7674,0.0037,0.0041,0.0037,0.0041,,,,,
C1,-1.643,3.9941,0.0038,0,-3.1289,NA,NA,0.0038,0.0039,,-485.6869,,,
C2,0.3002,1.8129,0.0037,112.1172,-4.0101,0.0037,0.0038,0.0037,0.0038,,,,,
C3,0.3392,1.8026,0.0037,115.4357,-3.9275,0.0036,0.0038,0.0037,0.0038,,,,,
C5,0.1785,2.0694,0.0043,30.5997,-3.4789,0.0042,0.0044,0.0042,0.0043,,,,,
C6,0.159,2.1317,0.0042,1.832,-3.4167,0.0041,0.0044,0.0041,0.0043,,,,,
C7,0.2781,2.0119,0.0042,45.8479,-3.8948,0.0042,0.0043,0.0042,0.0043,,,,,
D1,0.3367,1.8249,0.0045,124.5889,-3.9605,0.0044,0.0045,0.0044,0.0045,,,,,
D2,0.3279,1.8563,0.0045,82.3531,-4.006,0.0045,0.0046,0.0045,0.0046,,,,,
D3,0.3471,1.8035,0.0045,131.8867,-3.9385,0.0044,0.0046,0.0045,0.0046,,,,,
D5,0.2941,1.8305,0.0045,79.5316,-4.2282,0.0044,0.0045,0.0044,0.0045,,,,,
D6,0.3676,1.7433,0.0046,107.7874,-4.1801,0.0045,0.0047,0.0045,0.0046,,,,,
D7,0.3287,1.8037,0.0043,129.0362,-2.8668,0.0041,0.0045,0.0041,0.0045,,,,,
E1,0.2601,2.0948,0.0044,23.4765,-5.0657,0.0044,0.0044,0.0044,0.0044,,,,,
E2,0.3763,1.8916,0.0043,40.7088,-2.8571,0.0041,0.0045,0.0041,0.0045,,,,,
E3,0.3353,1.8289,0.0053,94.2575,-2.5222,0.0049,0.0057,0.005,0.0056,,,,,
E5,0.3165,1.7973,0.0046,125.9514,-2.5459,0.0043,0.0049,0.0043,0.0048,,,,,
E6,0.1987,2.0327,0.0046,0,-3.0125,0.0044,0.0048,0.0044,0.0048,,-2.0785,,0.00432,
E7,0.2808,1.9018,0.0042,97.047,-2.7458,0.004,0.0045,0.004,0.0044,,,,,
F1,0.2903,2.1828,0.0042,98.9468,-4.5847,0.0042,0.0043,0.0042,0.0043,,,,,
F2,0.2284,2.1484,0.0043,74.2383,-4.3758,0.0043,0.0044,0.0043,0.0043,,,,,
F3,0.3433,2.0046,0.0045,51.2868,-4.3895,0.0045,0.0046,0.0045,0.0045,,,,,
F5,0.2655,2.1026,0.0035,57.6308,-3.9795,0.0034,0.0035,0.0034,0.0035,,,,,
F6,0.2533,2.1038,0.0034,21.6361,-3.7576,0.0034,0.0035,0.0034,0.0035,,,,,
F7,0.1666,2.3032,0.0032,16.8709,-3.5193,0.0031,0.0033,0.0031,0.0033,,,,0.00385,
